Name,Country,Date,Content
Flare,"Helsinki, Finland",Mar 2019,"Dissapointment after Nusa Dua quiet beaches. This beach was a party beach, noicy, grouded and parties all night long."
Akash Goel,"Ghaziabad, India",Feb 2020 • Couples,The beach was beautiful but due to tourist a bit dirty. But nothing to take away from it. Beautiful feel with nice shacks with live singers
Off their P,"Manchester, UK",Feb 2020 • Couples,This beach was quite a walk from our hotel but we still made the effort to get there. It is generally clean (although this isn’t the case when the sea has been rough) and it’s long with great sand.You can rent sun loungers for your visit and there are several bars and restaurants to keep yourself fed and watered.The sea can get rough and lends itself quite well to surfing and other watersports. There are plenty of people around here who will teach you how to do it for a price.If you need to get there and back cheaply we used the Grab camp app which was really reliable and very cheap.
Val A,"Durban, South Africa",Feb 2020,This is about the best atmosphere at any beach. Loved the set up with 100s of umbrellas and tables and large bean bags/cushions for sitting. Drinks and light meals served on the shore. Excellent music
Lionel B,"Denpasar, Indonesia",Jan 2020,"If it is full for the sunset every evening, there are some good reasons: it is a wonderful beach, a legendary beach. And very clean for years. Perfect for families (kids can walk in the ocean in safety and enjoy the end of waves) or for adults who can enjoy bigger waves further. Many surf-schools all along for beginners, masseuses too, and a dozen of beach-bars/restaurants competing to attract the customers with decent prices for the food, drinks and services. It's summertime 365 days per year. The Beach Boys are locals, always happy (we wonder why? living on this beach!)"
sweetchloe39,"Melbourne, Australia",Feb 2020,It was said to be wet season in February but when I was there in early February there was barely any rain. Very lucky to see the gorgeous sunsets for a couple of times. 
Deborah C,101 contributions,Jan 2020,I was very disappointed by the state of the beach  tried to go to beach bar on beach we were not allowed to enter as we had bottled water and crisps in our bag 
harryphilpotter,"Weymouth, UK",Feb 2020 • Couples,Fantastic beach and not as dirty as everyone makes out. You see the odd bit of litter but nothing like you’d expect after reading reviews on here. A lot of pestering to buy usage of sun beds but just say no thank you and don’t stop to chat to the salesmen - they’re very friendly and not pushy though.
Emily,"Sydney, Australia",Feb 2020,We visited Seminyak Beach for dinner. Amazing sunset views and many restaurants to visit and enjoy the view. 
Tony H,"Smiths Lake, Australia",Feb 2020 • Couples,Awsome swimming & bars along the beach with seating at places like Chironguitos  seated on bean bags to watch a sunset whilst the world passes by 👍👍👍
Tim W,"Nottinghamshire, UK",Jan 2020,"We absolutely loved this beach, lots of lovely beach bars with very comfortable loungers, lovely sand lots of surfing, great cocktails, but amazing sunsets and a fabulous party vibe at night."
MariAlbiston,"Seminyak, Indonesia",Jan 2020 • Family,Nothing amazing. Lots of rubbish on the beach. Not very clean. And dogs. Eateries give it a nice feel. 
Tuuli,14 contributions,Jan 2020 • Solo,I was visiting Bali and stayed in Seminyak January 2020. The Petitenget beach was a total disappointment to me. I thought that in Bali the beaches were superb but Petitenget beach is really filthy and not at all atractive. The sand is full of plastic other rubbish and (hopefully) dog poop. There is no possibility to rent a beach bed so you have to actually lay your blanket on that dirty sand. Yaiks! 
Moretea,"Bourne End, UK",Jan 2020 • Couples,We walked to Seminyak beach and we pleasantly surprised at how lovely and peaceful it is compared to the madness of Kuta. There is also a chilled bar (Mano) which is great. There are still many big hotels on the beach and the town is fairly busy but for now this beach is a much better option of you prefer the'quiet' life!
Alnoor S,"Edmonton, Canada",Jan 2020,"Seminyak beach is amazing. Totally comparable to most famous Caribbean and and Dominican Republic beaches! We toured many beaches in Bali and Seminyak is the best in my judgement for a few reasons1) it is Flat!2) It is hard enough to run on and walk for miles and miles!3) The expanse of the beach area is very large and can accommodate thousands!4) Accessibility is easy, convenient and safe but subject to where you are staying. 5) Night time brings amazing g life to the beach areas and restaurant scene.6) Safety with most areas lit up. "
Rie06,"Chicago, IL",Aug 2019 • Solo,"Very nice beach. I went in the late afternoon, and it wasn’t very crowded. The beach is very clean, and the water was clear. Nice, relaxing experience. Know that you pay to use the loungers, and there are people selling things like sunglasses and bracelets."
Sue B,"East Fremantle, Australia",Jan 2020,"Good fun during day...very strong surf; & great beach side eats & drinks, with good choice. Colourful brollies & sun lounges for hire / hour....need towel or sarong.Evening...lovely sunset views, can book high rise restaurants for some glam.  & great food.     Sand a little coarse, but okay"
Shula K,44 contributions,Jan 2020,Something we haven’t seen before is the daily clean up of litter that dumps on the beach with each high ides.  Makes it so much more pleasant fir enjoying long walks. 
Terry A,"Auckland, New Zealand",Jan 2020 • Couples,"Ok - it’s a little crowded in places and the surf could be a little daunting if you can’t swim. But it’s a great beach, plenty of space if you walk a little, and everywhere there are restaurants and bars for a cold drink or bite to eat.We really enjoyed our time here "
vanessasmith75,"Sydney, Australia",Dec 2019 • Friends,"Love staying at the beach for just relaxing or chit chat with family and friends. Beside double six area, sometimes i go to seminyak beach to spend time with family or friends. Not really clean beach but is ok. "
Marc W,"Austin, TX",Nov 2019 • Couples,"We were staying close so hot this beach several times. Nice sand, plenty of chairs and a great sunset. The guys that rented our chairs also had cheap beer, bonus. The water itself was nothing spectacular, big waves so no real swimming just wading. Surfing if your into it.lots of restaurants along the beach too."
Flaves73,"Bendigo, Australia",Nov 2019,"Seminyak beach is the best place to experience a breath taking Bali sunset. The beach comes to life as the sun goes down with live music, bars and seating."
Jignakp,"London, UK",Nov 2019 • Friends,"Lovely clear water. Very busy beach, so best to go early in the morning,  the water is not too cold. Very popular surfing location to. This beach is not rocky like dreamland beach further south"
fredamy65,"Greater Melbourne, Australia",Nov 2019 • Couples,Plenty of space with minimal to nil hawkersRecommend if you are learning to surf. Predictable waves and not too big
Andrew O,"San Remo, Australia",Nov 2019 • Couples,"Went to the beach club to have a couple of drinks to watch an amazing sunset , need to spend $50 Australian to have a day bed which is basically 4 mixed drinks Definitely a must to experience "
Rachael Colette,"Singapore, Singapore",Nov 2019 • Couples,"My husband and I strolled along the beach from 4.45pm till sunset at about 6pm. It was amazing! However, we noticed that dirty water flowed into the sea at certain parts along the beach. Although it is only natural, seeing and smelling it turned us off and we did not want to play in the water. Be vigilant to watch where you are walking as well because we found broken beer bottles shards in the sand. Overall, it was a beautiful beach and watching cute dogs run around the beach was a bonus. "
42carl,"Seminyak, Indonesia",Nov 2019 • Solo,"Coming here my whole life, it’s a great beach and it’s clean. Lots of hotels etc around aswel as beach bars and little warungs. Great for all and also for having a walk with your dog ."
Empressb,3 contributions,Nov 2019 • Friends,Lovely friendly beach with lots of colourful beanbags in my opinion its more of a evening beach hangout
Paul M,"Canberra, Australia",Nov 2019 • Couples,End the day watching the sun drop into the ocean. Sip on a cocktail spread out on the beanbags. Must do on your Bali itinerary.
Dave s,"Deal, United Kingdom",Nov 2019,"Quiet beach superb for surfing and lazing around,spectacular sunsets and great bars and music.sunbeds a must as its hot!"
Agnes Perez,"Manila, Philippines",Nov 2019 • Family,Most stylish and upscale beach resort! We enjoyed the vies and the water! We will come back for sure!
iamkayoh,472 contributions,Nov 2019 • Solo,Beach is pretty clean except for occasional bits of drink bottles left on the beach. Nice place to sunbathe with a ice cold Bintang or coconut! Beware of stalls charging overpriced drinks though. Check the price before ordering and sitting down at the beach chairs. One of them charged me IDR200K for a coconut!Do look out!
gypsygirl52,"Busselton, Australia",Nov 2019 • Couples,Staying in Seminyak only 3 Nights so.plenty to see and do.We did manage to get to see the Beach a shirt walk from  Seminyak Square.We did not hire Sun beds could have got them for 7000 each with a little bartering. The Beach was clean not much Surf that day.Lots of places to grab a bite to eat and a lovely place to watch the Sun Set.
Meg,"Canberra, Australia",Nov 2019 • Friends,"The beach had soft sand and lots of beach chairs. There are heaps of restaurants, bars and surf schools along the beach here. The sand gets very hot in the sun, so we went at 8am to swim before it gets unbearable. Lots of street dogs, but they mostly leave you alone.Beautiful sunsets after 6pm, reccomend arriving around 5:30pm to take it all in."
Mark B,"Mosman, Australia",Nov 2019,"I visited Seminyak Beach because it was close to our Villa - but what a horrible beach. Black sand, dogs defecating and urinating everywhere. Rubbish blowing all over the place. I wouldn't go back."
Sanku,"Waidhan, India",Nov 2019 • Couples,Beautiful beach. One of the Best Sunset View point. Clean beach & Good place to dive in. Lots of beach side Cafe & Pubs are there. These are one of the best Beach Clubs of Bali. Must visit place. 
Darlene K,"Colorado Springs, CO",Nov 2019 • Couples,"Many beachfront restaurants to choose from  to enjoy watching the beautiful sunset while you eat dinner. It is popular, so you will be in the company of many who are in celebratory moods. In contrast, early morning walks on this same beach are quiet and peaceful."
Elyze,"Singapore, Singapore",Nov 2019,"We are here to watch the sunset. A lot of restaurants by the beach and a lot of locals trying to sell you things. Nevertheless, it is still a good place to chill and have a long romantic walk with your loved ones."
Palesa,"Johannesburg, South Africa",Nov 2019 • Couples,"Loved it. Absolutely... little to no waves, I’m happy with the small restaurant there, great service and very friendly"
stephanie C,"Perth, Australia",Oct 2019,"We ended up having an evening stroll along the beach around sunset which we thorougly enjoyed.Had we wanted an evening meal,there were numerous well patronised  restaurants from which we could have chosen. The beach was clean and others like us, both locals and tourists were taking advantage of using this lovely spot for recreational purposes."
pmickey,"Calgary, Canada",Nov 2019 • Couples,"The beach is very clean , we where here in oct November the flags most days where red and yellow, good to play in the water near shore line , or surf , but not great for swimming, could have been this time of year, but it was really nice sand , and clean and not many vendors asking you to buy something, "
N2N,"Jakarta, Indonesia",Nov 2019 • Friends,We just took a walk along the beach and enjoyed the sunset. Definitely great beach to visiting whilst in Seminyak.
Pedro L,"Fort Lauderdale, FL",Oct 2019,"Expensive umbrella/chair rentals and signs say swimming is prohibited, although people ignored that restriction.  Still, it was nice scenery."
Tracey R,31 contributions,Oct 2019 • Couples,beach was beautiful nice breeze from see all day clean and tidy. only pitiful is the the people who sell on the beach dont listen when you tell them no. other than that beautiful clean beach
nonina70,"Bekasi, Indonesia",Nov 2019 • Friends,You can enjoy by staying at places that have condition minimum order start from 100k..the difference only the place higher because they give more exclusive place
colleen t,"Winchelsea, Australia",Oct 2019 • Friends,Last time I was in Seminyak was four years ago and I can’t believe the change in the condition of the beach.Clean and uncluttered!!!Great work to all
John C,"Bali, Indonesia",Oct 2019 • Couples,"Great beach, great sun beds  Some surf schools and beach side massage During the day it is quite as the sun sets the place gets busy with some music But the Sunset is spectacular "
Stan S,"Singapore, Singapore",Oct 2019 • Couples,Came here to see the sun set. Beautiful white sandy beach with clear waters. Lovely view of sun-set. There is a swing with the words Petitenget ideal for Instagram. No drinks stalls or cushions littering the beach like Kuta. Less commercialized. One word - beautiful.
jane s,"Gold Coast, Australia",Oct 2019 • Friends,Nothing better than spending a sunset at the beach. Grab a beanbag a cocktail menu and your in for a great time with friends 
Rodney J,"Neutral Bay, Australia",Oct 2019 • Solo,"Just beautiful, better than I could of imgined. A great way to walk from the many resorts and beachfront restaurants."
Pathfinder221035,2 contributions,Oct 2019,"Not many beach bed options, but it was quiet when we were there. The current is strong and would not be suitable for young children."
G & H Travel,"Essex, UK",Oct 2019 • Couples,"The beach itself is okay, the sunbeds are really comfy and you can get two sunbeds for 3 hours for 150k. There are a few nice restaurants. The sunset is amazing though and this is why you come here. It is however quite touristy and the sea is quite rough so be careful."
Anne T,3 contributions,Oct 2019,This beach is not the golden sand with palm trees I was expecting. The sand is fine but the sea is dangerous. The waves and current are deceiving. There are red flags saying do not swim between and the life guards are constantly blowing their whistles to get you out of the water. The waves are  reminiscent of the Posiden Adventure!!!!
PhoenixT,"Limassol City, Cyprus",Oct 2019,"The beach is not ideal for swimming and current is strong and waves can be high plus I believe is not very clean either. But great for sunsets and the atmosphere at that time is so good with bars and beach huts are filled with people and singers, highly recommended for this experience."
Wayne,3 contributions,Oct 2019,Awesome beach. Great to see the beach is swept of litter each morningWould recommend too all. Night music/entertainment and plenty of bean bags to lounge on.
Lorie R,20 contributions,Oct 2019,"Amazing, vast beach.  Great for a walk, at times the surf is quite high.  Have to get used to the ladies and gentlemen peddling their wares on the beach. "
Lata P,"Mumbai, India",Oct 2019 • Couples,The beach is crowded but nothing like seeing the sun set in the ocean. Yes of course you will have better choices to see the beach at Gili islands or in uluwatu. But the beach wasn't dirty just crowded.
Frank M,"Glasgow, UK",Oct 2019 • Couples,The most beautiful sunsets I have ever seen. Sit and relax with a cold drink. It’s awesome you can hire a decked seat or just layOn the beach. Lots of surfers to watch.
Prof. Andrew John y Fernandes,"Valenzuela, Philippines",Oct 2019,"The usual Asian beach with grey sand, warm waters and features a longer sand base. Sadly, quite dirty"
danielle166,"Medan, Indonesia",Aug 2019 • Friends,It's must to watch sunset here.Sandy beach with whole lot crowd but it's still has its own beauty. Go around 5 p.m. you should go earlier though to avoid traffic jam.You'll see one of the most amazing sunset here.
sasidar30,"Coimbatore, India",Oct 2019,I guess it’s the most busiest beaches in Bali... I see a lot of local connect like the Sanur and unlike the nusa dua beach..It’s pretty hot in October.. so you have to carry what ever is necessary 
Rod W,"Seminyak, Indonesia",Oct 2019 • Couples,"The reality is that it is extremely hotThere's no white sand, it's grey gravel and no real surf.Hence no one is there.Plus the rubbish, everywhere "
Geordie K,"Cavite City, Philippines",Oct 2019 • Couples,The beach is very popular and a great place to watch the sunset. Lots of surfing going on and you must stay within the flags to avoid the rip currents but it is very safe and plenty of food and drinking available all along the beach 
Gus Dark,Indonesia,Aug 2019,"Geez, they should build big parking building, a Multistorey car park on the empty land near the beach otherwise sooner or later people will come with bad atmosphere, which make the awesome sunset beach fullfilled with negative atmosphere caused by bad traffic around the area. Stop build Hotels or beach clubs here, all stackholders in this areas should re-think again about where Seminyak going in the near future."
Amit Agarwal,"Kolkata (Calcutta), India",Oct 2019 • Family,"This is the best I found in Bali, have many restaurants with shisha / Liquor and lovely food.One should try it"
luxurytraveller1964,"Brisbane, Australia",Sep 2019,The beach was clean and safe.  Lots of tourists and a wonderful way to enjoy the Bali culture.  Not too many locals looking to sell their wares makes this a relaxing location and perfect for watch the sun set each evening.
ozsarah,"Adelaide, Australia",Oct 2019 • Friends,Fantastic beach and a great place to watch the surfers. Great beach lounges so you don’t have to be on the sand. 
Graham Dinwoodie,"Glasgow, UK",Sep 2019 • Couples,Stunning beach very clean not to busy plenty to do from surfing to scuba diving and just having a beer and watching what has got to be the most romantic sunset to watch with your wife 
Eka A,"Shanghai, China",Oct 2019,"This part of the beach is flat and long beach. You can do pretty much many activities, surf, soccer, swimming in the ocean, ride, kite flying, etc, etcBefore Sunset, many hotels and restaurants will put a bean bag along the beach and pumping with music. Love it Love it"
Dharmadji5,"Jakarta, Indonesia",Mar 2019 • Solo,"Could not sleep so I decide to take an early walk and catch a sunrise. To my wonderful surprise how fresh air and sandy beach while waiting for sunrise can be rejuvenated myself! There weren’t many people, but jogger and Jetleg tourist w their selfie mode were a few. Walked for an hour and finally watched the sun cracking the horizon to begin the new day. It’s plain beautiful thing to start your day in Bali. Perfecto"
Lesha G,"Durban, South Africa",Sep 2019 • Friends,Beautiful shoreline. Amazing sunset. You do not have to drive all the way to Jimbaran for a stunning sunset. 
Александр Ф,"Moscow, Russia",Sep 2019,"TL;DR: Hands down the best beach in Bali.Okay, the situation is a bit silly. We came to the Seminyak from the airport at night, didn’t like the traffic and decided to see all the best beaches first before deciding where to live.So the next day at the early morning we started to explore them (not seeing Seminyak beach first!).Canggu, Munggu, Jimbaran, Dreamland, Melasti, Padang-Padang, Sanur (and some other places along the way) - whole day drive.Came back frustrated at night, no amazing beaches, if you were in Philippines, Thailand, Goa etc you understand, Bali beaches are average at best. Yeah, Melasti wedding pictures are nice, but it’s not for swimming, living and relaxing.Next day we saw Seminyak beach 100m from our hotel (right at the Ku De Ta).Ocean waves, tender and smooth light yellow sand, wide and bright beach kilometers long.It’s perfect.Seminyak is the most expensive place for a reason."
Siska B,"Melbourne, Australia",Sep 2019 • Friends,If you can learn to say no to the people selling you things while you lay on your subbed you paid $10 for with umbrella for the whole day you will love the beach in seminyak. Restaurants near buy who will deliver to your  day bed ! In all t yhe photos o had seen thought it would be a dirty beach but was lovely even the water was amazing. 
Irena N,"Melbourne, Australia",Sep 2019 • Friends,"We stayed at the Anantara hotel. It was fabulous - for service, pools, Buffet breakfast dinner experiences rooftop bar and restaurant. The staff could not have been more helpful or polite or just genuinely friendly and concerned for our enjoyment. "
Asenster,"Burgas, Bulgaria",Sep 2019 • Friends,"It is very nice wide beach. It is perfect to drink cocktails, watch sunsets, listening live music, sunbathing, eat!"
Farkwad,"Agnes Water, Australia",Sep 2019 • Family,Awesome western sunsets into the Water with well priced beers sun beds and restaurants. Great swimming and fun for the whole family. 
Benholhar,"Penarth, UK",Sep 2019,Lovely setting to watch sunset on beach with a cocktail or two. Plenty of choice for drinks and views gets busy around 5pm so find a seat early 
Nick9289,"Castle Donington, UK",Sep 2019 • Couples,Great time to walk on the beach just before sunset. It is very clean with very nice views to look at. 
Arun714,"Hokkaido, Japan",Sep 2019 • Family,"Great beach for sunsets, walks, kiteflying, playing in the sand relaxing on deckchairs and learning how to surf. Not good for swimming."
Louise P,"Cabarita Beach, Australia",Sep 2019 • Family,We loved Seminyak Beach! It’s clean and the water is beautiful. It’s busy at sunset everyday but there’s plenty of room to spread out and countless beach clubs to sit and watch the sunset from. It’s way better than the pictures you see on the internet. Seminyak is a great place in Bali to visit ❣️
SteveDWS,"Sydney, Australia",Aug 2019 • Couples,Water is murky and is actually quite rough in most areas. Lack of bars and restaurant indicates it is not really for tourists. Of 3 days we visited once for 10 minutes. Ordinary. Don’t waste your time.
San P,"Moncton, Canada",Aug 2019,"Super nice day at the beach, the only downfall was getting approached all the time for renting chairs or buying goods!"
Caitlyn S,10 contributions,Aug 2019 • Solo,"Nice enough, soft sand, very strong current in water and big dumping waves. In my opinion I would say not safe for swimming, but OK to paddle if you're careful."
ckrken,5 contributions,Aug 2019,"You have to visit Seminyak forget Kuta that has just gone downhill. Seminyak is the place to stay, go to Double Six beach, meet Judi, Lollipop, Ina, Tina, Jennifer, Eric, Milky, Martin and the rest of the sellers and beer boys.  Best place in the world to buy a beer and sit in comfort and watch the world go buy.  Buy your souvenirs or get your nails done even have a massage I can personally guarantee you will get a better deal and treatment from these people than any of the shops, markets or spas that you attend.  We did.  There are so many warangs to get cheap meals, it is cheaper to stay here than any place in Kuta or Legian. Kura-Kura buses run regularly and travel all over the main parts of Bali. I simply can go on and on but go and find out yourself."
Vera Z,"Beirut, Lebanon",Aug 2019,"The beach in Seminyak is amazing especially for Surfers, but not that good for swimmers since it's always high tide. The entrance is free but if you want to sit on a bed you will have to pay around 100K Rupiah per bed if you have good negotiable skills since they can ask for more."
Elenishaz,26 contributions,Aug 2019 • Couples,Sunset in beautiful Seminyak never disappoint. This is my 16th Bali trip and always love looking across the ocean and watching the sunset
Denise P,"Australind, Australia",Aug 2019 • Couples,Relax or get surf lessons clean beach very relaxing can get a massage or buy things Small restaurant serving local food beer and food 
Brook R,"Sydney, Australia",Aug 2019 • Couples,For one of Bali’s main beaches this is disappointing. Whereas some effort has been made to tidy it up particularly in front of the nicer hotels many people are taking their dogs for a walk and making no effort to big up their poo from the sand so not a pleasant walking experience. Also still many strays despite efforts to collar some of them. There are also a few streams emanating from the town that run across the beach with foul smelling water to paddle through. Not many people sunbathing in it which probably sums it up.
ECB,20 contributions,Aug 2019,Loved the choice of restaurants and sunsets. Beautiful beach with golden sand. Will visit soon. Very romantic. 
dotdim,"Keysborough, Australia",Aug 2019 • Couples,Amazing and clean beach with great waves.  No crazy hustle here. Hotels and bars right at your fingertips.  Great spot to chill or satin or go for that brisk walk or run
SmilyBergen,"Bergen, Norway",Aug 2019,"Great sand, funny waves, lovely sunset, not too crowded. Sunbeds costs 100.000 each. Hope to be back!"
quiknett,"Springfield, MO",Sep 2018 • Friends,"Seminyak is a better location then kita,  for elder people like me , prefer  Semnyak then Kuta too crowded and noisy. Seminyak has a better store  too."
Scott T,"Bangkok, Thailand",Aug 2019,The beach is fantastic. Approximately 100 meters from shore to where the beach ends. A number of beach pubs with live music in the evening.. very relaxing. The waves rolling in add that hypnotic vibe.
Jay Murray,"Denpasar, Indonesia",Aug 2019 • Couples,"Beach is a must see - just be ready for the market sellers there - lovely people who are there to make a living for themselves, they go around selling their wares, be polite in saying no - other tourists there just ignore them - which I found was quite rude. A nice ‘thank you - but no thanks’ goes a long way."
StephanieJeffrey,"Winsford, UK",May 2019 • Couples,Such a stunning beach to watch the sunset. There is a swing on the beach also which is a lovely touch. It was fairly clean and tidy. Lots of bars along the beach and chill out spots 
Timo10101,"Cairo, Egypt",Aug 2019 • Couples,"Bali is famous for many things, however beaches and sea swimming is not the best here, unless you're a surfer. The water was cold - expected as it's an ocean, and the sea waves were quite strong and turning any swim attempt into a soft fight. "
Wulan C,17 contributions,Aug 2019 • Couples,Great spot but overcrowded ..dogs roaming around..cafe s expensive went to Botanica for froze and sangria just behind the beach..
vancitykelsey,"Vancouver, Canada",Jun 2019 • Friends,Beautiful sunset!!! Loved watching the big waves crashing and seeing local Balinese families enjoying the beach/offering blessings. Don't miss the sunset - its magical.
holdayluv,"Melbourne, Australia",Jul 2019 • Family,"We went to go to the beach only to find that to get on and off the beach, if you are not staying at the beachfront resorts is a nightmare. You have to walk miles out of your way to get on and off the beach which has open drains emptying into it that smell terrible. I hated walking through the dirty water."
Ruud & Debby,"Capelle aan den IJssel, The Netherlands",Jul 2019 • Couples,"Go here if you like to enjoy the sunset while having a nice cocktail on the beach. Lots of beach bars and beach clubs to choose from. A bit more expensive then Kuta, but therefore also a bit more stylish."
CassavaHK,"Sandik, Indonesia",Aug 2019 • Family,"Having been to quieter beaches this was packed and really not that nice. Way too busy, noisy and touts everywhere.  If you like the buzz, crowds then it’s the beach for you. If you like privacy and peace stay away. Sunset was nice but you can’t take a decent photo without a single person in it! "
S p,5 contributions,Jul 2019 • Family,"I'm writing this review to warn the many people that come to Seminyak beach of the very powerful currents in this part of the beach which could be deadly. Many people have died including my cousin who just drowned 3 days ago getting caught in the rip tide. He was a very good swimmer with exceptional athletic ability, but the currents on this beach are very strong and come all of a sudden. There are many articles on this if you search specifically for it,  but they get no publicity because the big corporate hotels need to keep the tourists coming in. My advice is you can stay in the hotels, but please find another beach to swim in. Please read up on rip tide currents if you do plan to stay there. The site wont allow me to post links to other sites. Thank you"
karlmonty,100 contributions,Aug 2019 • Solo,Nice beach with some really good pubs / bars along the strip most of my days spent here some really good spots to have a drink an watch the sun go down 👌👌
EveT205,"Singapore, Singapore",Jul 2019 • Solo,I like this beach. Nothing much to fault but i just wish the washroom can be free and more water points to wash off our sandy feet.
Umang A,"Mumbai, India",Aug 2018 • Couples,"A other beautiful white sand beach in Bali, bear to city center and party place so sometimes may be dirty "
Razor Ray,"County Meath, Ireland",Jul 2019 • Family,Took a walk down seminyak beach with my 2 teenage boys and it was sad to see the amount of rubbish lying on the beach. There  is a stream that flows into the sea there also and it is basically a dustbin with all sorts of rubbish dumped in it which is flowing into the ocean. It is very sad and it is something the Indonesian government needs to address. Aside from that the beach is a surfers beach with huge waves. Could be so beautiful.....
Joanna L,"Davao City, Philippines",Jul 2019 • Family,"Such a striking difference from the other beaches.  Seminyak beach has a classier atmosphere, so much space, and it doesn't have the haggling vendors at Kuta beach.  The price to lounge, for food and drinks is much more here but you get what you pay for."
Guillex13,"Mendoza, Argentina",Jul 2019,"Nice beach and large so you could be in a place without others next to you.A black sand beach, big waves, if you like surf that's the location.Big and beautiful sunsets, book a place in one of the beach sand places restaurants and enjoy.For me it's a 7."
Natty,World,Jul 2019 • Couples,We like Seminyak beach. Very nice beach & clean. Good for walk on the beach. You can spend time long day. Have many restaurants & Hotel. Beautiful the Sunset there...Will be back soon.💃🌺Natty🕺🌺Walter 
Richard S,"Seminyak, Indonesia",Jul 2019 • Friends,Love going to this beach maybe because it feels like I’m home every time I go there know a lot of people and have good friendships over the years ... restaurant close by everything is busy on a Sunday afternoon 
moviegeekjn,"Phoenix, AZ",Jul 2019 • Couples,"After seeing only underwhelming Sanur Beach previously, Seminyak Beach represents its polar opposite. The sunsets are fabulous and there are many entry points to this beautiful beach with fine sand; it's like I told my traveling partner: this place is like a ""poor man's Maldives.""  This area will be my primary beach area if and when I return to Bali"
Rob w,28 contributions,Jul 2019 • Couples,Seminyak beach is a great place to hang out for those sundowners after a hard day’s surfing and watch the sunset with a cold beer or cocktail sitting on one of the many rainbow beanbags!
nomadic_heart7,"Bongaigaon, India",Jul 2019 • Family,"loved the sunset view ,local food,vibes of the beach..surfing shots....every bit of it...clean beach but crowded....you can spend the whole day"
