review,scores,compound,comp_score
love seminyak clean water beautiful busy sunset everyday there plenty room spread countless club sit watch sunset way well picture see internet seminyak great place bali visit,"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.9517}",0.9517,1
water murky actually quite rough area lack bar restaurant indicate really tourist 3 day visit 10 minute ordinary dont waste time,"{'neg': 0.112, 'neu': 0.786, 'pos': 0.102, 'compound': -0.0597}",-0.0597,0
super nice day downfall get approached time rent chair buy good,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.8625}",0.8625,1
nice enough soft sand strong current water big dumping wave opinion would say safe swim ok paddle youre careful,"{'neg': 0.082, 'neu': 0.463, 'pos': 0.456, 'compound': 0.8591}",0.8591,1
visit seminyak forget kuta go downhill seminyak place stay go double six meet judi lollipop ina jennifer eric milky martin rest seller beer boys best place world buy beer sit comfort watch world go buy buy souvenir get nails do even massage personally guarantee get good deal treatment people shop market spas many warangs get cheap meal cheaper stay place kuta legian bus run regularly travel main part bali simply go go find,"{'neg': 0.023, 'neu': 0.834, 'pos': 0.142, 'compound': 0.8658}",0.8658,1
seminyak amaze especially surfer good swimmer since always high tide entrance free want sit bed pay around 100k rupiah per bed good negotiable skill since ask,"{'neg': 0.039, 'neu': 0.558, 'pos': 0.403, 'compound': 0.9195}",0.9195,1
sunset beautiful seminyak never disappoint 16th bali trip always love look across ocean watching sunset,"{'neg': 0.0, 'neu': 0.537, 'pos': 0.463, 'compound': 0.8849}",0.8849,1
relax get surf lesson clean relax get massage buy thing small restaurant serve local food beer food,"{'neg': 0.0, 'neu': 0.622, 'pos': 0.378, 'compound': 0.8176}",0.8176,1
one bali main beach disappoint whereas effort make tidy particularly front nice hotel many people take dogs walk make effort big poo sand pleasant walk experience also still many stray despite effort collar also stream emanate town run across foul smelling water paddle many people sunbathe probably sum,"{'neg': 0.05, 'neu': 0.832, 'pos': 0.118, 'compound': 0.5688}",0.5688,1
love choice restaurant sunsets beautiful golden sand visit soon romantic,"{'neg': 0.0, 'neu': 0.393, 'pos': 0.607, 'compound': 0.8957}",0.8957,1
amazing clean great wave crazy hustle hotel bar right fingertips great spot chill satin go brisk walk run,"{'neg': 0.078, 'neu': 0.391, 'pos': 0.531, 'compound': 0.9313}",0.9313,1
great sand funny wave lovely sunset crowded sunbeds cost 100000 hope back,"{'neg': 0.0, 'neu': 0.369, 'pos': 0.631, 'compound': 0.9287}",0.9287,1
seminyak good location kita elder people like prefer semnyak kuta crowd noisy seminyak well store,"{'neg': 0.084, 'neu': 0.545, 'pos': 0.371, 'compound': 0.7003}",0.7003,1
fantastic approximately 100 meter shore end number pubs live music even relax wave roll add hypnotic vibe,"{'neg': 0.0, 'neu': 0.642, 'pos': 0.358, 'compound': 0.7783}",0.7783,1
must see ready market seller lovely people make live go around sell ware polite say tourist ignore find quite rude nice thank thanks go long way,"{'neg': 0.145, 'neu': 0.477, 'pos': 0.378, 'compound': 0.85}",0.85,1
stun watch sunset swing also lovely touch fairly clean tidy lot bar along chill spot,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7579}",0.7579,1
bali famous many thing however beach sea swim best unless youre surfer water cold expect ocean sea wave quite strong turn swim attempt soft fight,"{'neg': 0.08, 'neu': 0.679, 'pos': 0.241, 'compound': 0.7346}",0.7346,1
great spot overcrowd dog roam aroundcafe expensive go botanica froze sangria behind,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.6249}",0.6249,1
beautiful sunset love watch big wave crash see local balinese family enjoy beachoffering blessing dont miss sunset magical,"{'neg': 0.088, 'neu': 0.392, 'pos': 0.52, 'compound': 0.9223}",0.9223,1
go go find get stay beachfront resort nightmare walk mile way get open drain empty smell terrible hat walk dirty water,"{'neg': 0.302, 'neu': 0.698, 'pos': 0.0, 'compound': -0.7783}",-0.7783,0
go like enjoy sunset nice cocktail lot bar club choose bit expensive kuta therefore also bite stylish,"{'neg': 0.0, 'neu': 0.622, 'pos': 0.378, 'compound': 0.8176}",0.8176,1
quieter beach pack really nice way busy noisy tout everywhere like buzz crowd like privacy peace stay away sunset nice cant take decent photo without single person,"{'neg': 0.084, 'neu': 0.528, 'pos': 0.388, 'compound': 0.9097}",0.9097,1
im write review warn many people come seminyak powerful current part could deadly many people die include cousin drown 3 day ago get catch rip tide good swimmer exceptional athletic ability current strong come sudden many article search specifically get publicity big corporate hotel need keep tourist come advice stay hotel please find another swim please read rip tide current plan stay site wont allow post link sit thank,"{'neg': 0.124, 'neu': 0.662, 'pos': 0.214, 'compound': 0.774}",0.774,1
nice really good pub bar along strip day spend really good spot drink watch sun go,"{'neg': 0.0, 'neu': 0.586, 'pos': 0.414, 'compound': 0.8476}",0.8476,1
like nothing much fault wish washroom free water point wash sandy foot,"{'neg': 0.123, 'neu': 0.437, 'pos': 0.44, 'compound': 0.7003}",0.7003,1
beautiful white sand bali bear city center party place sometimes may dirty,"{'neg': 0.157, 'neu': 0.486, 'pos': 0.357, 'compound': 0.5719}",0.5719,1
take walk seminyak 2 teenage boy sad see amount rubbish lie stream flow sea also basically dustbin sort rubbish dump flow ocean sad something indonesian government need address aside surfer huge wave could beautiful,"{'neg': 0.205, 'neu': 0.651, 'pos': 0.144, 'compound': -0.3818}",-0.3818,0
strike difference beach seminyak classy atmosphere much space doesnt haggle vendor kuta price lounge food drink much get pay,"{'neg': 0.133, 'neu': 0.734, 'pos': 0.133, 'compound': 0.25}",0.25,1
nice large could place without others next youa black sand big wave like surf thats locationbig beautiful sunset book place one sand place restaurant enjoyfor 7,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.8481}",0.8481,1
like seminyak nice clean good walk spend time long day many restaurant hotel beautiful sunset therewill back soonnattywalter,"{'neg': 0.0, 'neu': 0.468, 'pos': 0.532, 'compound': 0.93}",0.93,1
love go maybe feel like im home every time go know lot people good friendship year restaurant close everything busy sunday afternoon,"{'neg': 0.0, 'neu': 0.59, 'pos': 0.41, 'compound': 0.91}",0.91,1
see underwhelming sanur previously seminyak represent polar opposite sunset fabulous many entry point beautiful fine sand like tell travel partner place like poor man maldives area primary area return bali,"{'neg': 0.075, 'neu': 0.583, 'pos': 0.342, 'compound': 0.875}",0.875,1
seminyak great place hang sundowner hard day surf watch sunset cold beer cocktail sit one many beanbag,"{'neg': 0.068, 'neu': 0.732, 'pos': 0.2, 'compound': 0.5719}",0.5719,1
love sunset view local foodvibes beachsurfing shotsevery bit itclean crowdedyou spend whole day,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.6369}",0.6369,1
great pack dawn dusk people like costa del sol many nice beach bali seminyak club restaurant bar etc depend youre look,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.8555}",0.8555,1
similar kuta grey sand strange milky creek flow water would swim didnt particularly like walk sandseminyak quieter version kuta nicer shop well food relaxed local touristsi love seminyak dont bother go,"{'neg': 0.097, 'neu': 0.538, 'pos': 0.366, 'compound': 0.8888}",0.8888,1
visit double six area seminyak everything nice watch sunset one night want lounge chair pay pay 20 5 many bar place eat wasnt busy,"{'neg': 0.108, 'neu': 0.734, 'pos': 0.158, 'compound': 0.3182}",0.3182,1
load cool spot lounge cost 250 nz day bean bag free long buy food drink surf lesson cost 2030 hour half lesson 510 surfboard hire 2 hour awesome music vibe,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.8658}",0.8658,1
great sunset wave big san dirty stray dog everywhere prefer australian beach,"{'neg': 0.171, 'neu': 0.588, 'pos': 0.241, 'compound': 0.296}",0.296,1
sand lack luster great surfyou access free walk past potato head go order lunch use beanbag provide,"{'neg': 0.097, 'neu': 0.591, 'pos': 0.312, 'compound': 0.7269}",0.7269,1
clean well maintain lot entertainment option night busy yet cozy great place relax,"{'neg': 0.0, 'neu': 0.354, 'pos': 0.646, 'compound': 0.9274}",0.9274,1
good spot learn surf sand mix black volcanic silica look fairly good little rubbish lot access point variety popup style bar,"{'neg': 0.0, 'neu': 0.766, 'pos': 0.234, 'compound': 0.7003}",0.7003,1
expansive awful riptide lot umbrellas lounge chair hire swim hotel pool,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4588}",-0.4588,0
spent time sun people watch time well spent there ton hotelsbarsrestos get lunch dinner get hungry enjoy,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.6486}",0.6486,1
seminyak okay plenty much good average go walk evening plenty restaurant near good walk many place eat walk,"{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.7717}",0.7717,1
spent day near seminyak clean offer small wave surf monitor lifeguard,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}",0.4019,1
lovely sundown many hawker put try relax awoken local aim sell youll love great bar restaurant,"{'neg': 0.0, 'neu': 0.444, 'pos': 0.556, 'compound': 0.9432}",0.9432,1
difficult access hidden side number large villa hotel reach path ku de ta jalan kayu aya along motel mexicola white kiwi aussie brigade take sunscreen pay sun umbrela intend spend time beachi surfer surf quite large untrained eye seem number doctor might order grommet expert alike savour presume wave arise break day observe number perfect frame,"{'neg': 0.063, 'neu': 0.795, 'pos': 0.141, 'compound': 0.4215}",0.4215,1
long connect kuta legian petinget something similar well paradise swim fan surf club drink watch sunset course nice long walks sunset lively full local people dog many clean clean every day machine full offering little basket flower nice touch colorful umbrellas lounge relax,"{'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.9732}",0.9732,1
relatively clean good thunderous surf day visit plenty surf school people watch club option lovely sunset loud busy place,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.8555}",0.8555,1
nice good barseateries along foreshore much surf great child go swim,"{'neg': 0.0, 'neu': 0.449, 'pos': 0.551, 'compound': 0.8689}",0.8689,1
