Name,Country,Date,Content
GrandTour817128,3 contributions,Dec 2019,"Gorgeous view, clean and white sandy beach, secluded from local inhabitants. Perfect place for enjoying beach and lying on sun bed all day long"
Ashish J,"Pinner, UK",Dec 2019,We spent about an hour at the beach. We clean and nice beach. You can find the shade to sit in even on a hot day. A good place to watch the world go by as you bring your own pace down. Do visit the beach if you have a couple of hours to spare and are in South Bali.
Adri Rozali Sandi,"Gunung Putri, Indonesia",Dec 2019,Go here in the morningLow currentLow tideClean white sandy beachKids safely played and swim hereWe visited our hotel beach clubEnough number day bed and lounger bedA shower room
Tony Halim,"Singapore, Singapore",Dec 2019,Most beaches here are privately managed by the hotels and thus are very clean. Only issue here is you can't catch the sun set as it faces the East. 
Purnima Banka,3 contributions,Dec 2019,"The beaches are clean and beautiful, surrounded by all luxury hotels. It has a bali collection mall which also leads to the beach, this place is vibrant and is nested with many pretty cafes and restaurants, with live music flowing in most of them. It certainly has a great vibe and awesome for some leisure time!!"
Amalia S,"Jakarta, Indonesia",Dec 2019,Nice beach clean & easy to swim. We are happy to spend some time in here. Only food is the problem need to go back and forth to our fav resto. 
rodb987,"Grande Prairie, Canada",Dec 2019,Nice white sand large surfing waves quite a ways off shore at high tide. Most beaches are nicely maintained by hotels (raking up and burying the sea weed washing up on shore). Typical water sport activities for hire along beach. 
ThunderBear1982,"Hangzhou, China",Dec 2019,"I went with my wife for a leisurely swim. We stayed in Jimbaran, but many friends had told me Nusa Dua Beach was a must see. It wasn't.It certainly wasn't terrible but there are far more stunning beaches in southern Bali to check out, such as Greenbowl and Suluban.The water was crystal clear, but you have to swim in swaths of seaweed and some plastic.The beach had many big resorts on it, but it didn't make the beach crowded. There is also a small restaurant and a hut where some locals provide massage, which my wife said was great."
Mudhoo,7 contributions,Dec 2019,Beautiful walk around the beach area. Nice view of sunset and blow hole. Safe for children to walk around the loop. Good surfing area. 
Pranab k,"Singapore, Singapore",Dec 2019,Great beach if you are looking for privacy and experience of Bali beaches at the same time. Great for families 
Jan V,"Sofia, Bulgaria",Dec 2019,"It is a long, probably 4-5 km white sand strip to the East of Bukit paninsular with it's pros and cons. I would say the most fashionable beach with posh hotels manicured lawns and picturesque blue sea. Cons are the rocky coral sea base and plenty of algas in that season, so one has to hunt for a clean spot to enter the sea. I would line it third to Legian and Uluwatu beaches."
Stephen C,"1,055 contributions",Dec 2019,"Some would argue that Nusa Dua has become too commercialized as hotels are sprinkled all over this area. Along with that comes the restaurants and shops targeting tourists.But if you don't mind all that, then Nusa Dua beach is a must visit place. The currents are decent and you will spot many surfers riding the waves here.There is also a nice beach walk that links almost throughout the entire beach so you can just walk along to enjoy the landscaping that the different hotels put together.Certainly a nice place to just hang out and get a good tan. Waters are also safe for swimming."
Kelly S,32 contributions,Dec 2019,"This is a beautiful beach, plently of space so you won't be sitting on top of anyone and very clean water fine for swimming :-)"
Cherie H,"Roumazieres-Loubert, France",Dec 2019,"Great cove for swiming, its bouyed of for safety from boats going past. Loads of cafes and restuarnts and 5 star hotels along the s hjore and the great Bay area for chilled low cost time"
Fahmi,10 contributions,Dec 2019,"Quite Beach , not too many peoples even on weekend surrounding ITDC Area. Need extra special passes from Hotels but very friendly for Family Vacation."
Nicky2015,"Sydney, Australia",Nov 2019,"Don’t choose this beach if you want to surf: but it’s ideal for gentle Swimming, snorkeling and lounging with the family. Very pretty views and nice breezes in the afternoon from the beach club tables under the trees lining the resort. "
Nino,103 contributions,Dec 2019,The beach is filthy with sea weed and dirt everywhere.  The image of beautiful blue water is an absolute distortion of the truth.  In fact this is probably the worst beach I have been to.  Regret falling for false advertising on Nusa Dua 
Robert R,"Woodvale, Australia",Dec 2019,this beach is great!! very clean and shallow great for small kids its cleaned every day and water here is largely unpolluted 
DS of Hove,"Brighton and Hove, UK",Dec 2019,Our hotel (Marriott) had a reserved area of the beach with loungers and umbrellas plus a beach bar/cafe. We walked along the beach for 800 mtrs and it was very quiet. The beach is swept clean every night. There is a barrier of reefs 200 mtrs off the shore and a lagoon forms behind this but at low tide it is too shallow to swim in so find out the tides if you want to swim in the incredibly warm sea (it needs to be at least middle tide for a reasonable swim).
Sherpa26568007543,"Yuma, AZ",Dec 2019,Great public beach.  The each side is great for early morning walks on the beach.  The hotels make sure the beach is cleaned of seaweed each morning after the high tide.  The eastern beach is much better than the northern side past the 2 nusas
Mr. Hunter,"Port Vila, Vanuatu",Dec 2019,The beaches of Nusa Dua are heavenly but in December the heat might be overbearing. Its a great beach to make wonderful memories and forget about your worries in the city. An absolute gift from Heaven. 
James D,"Cronulla, Australia",Nov 2019,"We stayed at the Mulia Villas that had direct access to this beach and wow, talk about being spoilt , it seemed that as soon as you left footsteps in the sand they were raked over like a divot in a bunker.The water was clean and the surf breaking on the reef not too far out was also worth exploring at low tide.All up, clean and safe."
Stewartholt,"York, UK",Dec 2019,I'm assuming that the beach we visited from our hotel (Courtyard Marriott) was Nusa Dua Beach. If it wasn't then apologies for the review. We walked along the Beach area and it was quite well manicured but was large hotel after hotel after hotel after hotel. The sunbeds were quite crowded as well as the bed/pavilion structures. Hotel restaurants all the way along. We are leaving early to try Ubud then Gili. Fingers crossed
mary m,15 contributions,Dec 2019,Nusa dua beach is a little haven away from all the chaos of bali. It has a beautiful walking path along the side of the beach on one side and the other side are beautifully manicured gardens and resorts and also restaurants. We went jogging on the path every morning. There's hardly anyone hassling you to buy stuff.
Jayanth K,"Bengaluru, India",Nov 2019,Nusa Dua Beach is one of the better maintained beaches of Bali.. there are options to play water sports.. be meticulous before getting into any watersport activity.  Bargain harder until they come down to your price.. they will eventually give in.. 
Jennifer B,"St. Mawgan, UK",Nov 2019,Beautiful beach to relax. Easy to walk through all the resorts along the beach front. It’s safe and friendly 
Fizzy6,Bibra Lake,Nov 2019,Beautiful beach with not too many hawkers and a lot of fun activities. Cold drinks served to your cabana and many spots to lounge on
Hmaspol,"Jakarta, Indonesia",Dec 2019,"The beach where i stayed was not really clean and well arranged, maybe there was event during the weekend and too many people gather there."
valdowling,"Liverpool, UK",Dec 2019,Hawkers are well controlled and not the slightest bit intimidating.  Plenty of staff keeping the beach clean and tidy.
Old Pro,"Seattle, WA",Sep 2019,"In general, I felt Bali didn't have any particularly fantastic beaches . At least the ones I saw . This beach is a particularly it's not spectacular specially when compared to many of the beaches I've been to in the Caribbean. Kind of dull and without character and during the day turns into a big mud flap at low tide. So dull I didn't bother to take any pictures of it . But, I didn't come here for the beach oh, I came here to scuba dive. I took scuba tours two beaches that were very beautiful on penida Island. If beaches does what you like to do and don't particularly want an Indonesian style Hotel, pick a hotel on the west side of the island. It's much more crowded there and in my opinion not as nice but, there are nicer beaches."
Darren C,"Sentosa Island, Singapore",Nov 2019,"Beautiful & Cleanest beach I’ve ever experienced. Offers water sports, plenty of free loungers & shade. Push button beach service. Night time beach seats & open fires, with marshmallow toasting for the kids. Love it!!"
Brian F,"Adelaide, Australia",Nov 2019,"I wandered across to Nusa Dua to catch Devdan Show and I’m glad I did as, besides the show being great, there might otherwise be a risk that I would one day stay around here. This place is stale, whitewashed hole devoid of any Balinese or Indonesian culture, somewhat ironic given I’d come to Nusa Dua for a cultural dance show. Why anyone would travel to a another country and pay overs to stay in a place like this is beyond me. The beaches aren’t even that good. "
215ayen,"Singapore, Singapore",Nov 2019,This tranquil environment is good for honeymooner and family traveller . It is away from noises and busy/ crowded places . 
ekholland27,"Amersfoort, The Netherlands",Nov 2019,It is sandy but not a beach to swimm. With low tide you have to walk far and there are lots of rocks. Even with high tide water comes up only to just above knees and lots if weed and plastic. Not the picture post card you would expect
Allison Doyle,"Berkeley Vale, Australia",Nov 2019,"This has to be one of the cleanest beaches in Bali. Yes Bali has Ocean pollution problems, there are plastic bags floating everywhere! Really opens eyes to what we humans are doing to this planet.As far as that goes this beach is very clean and the beach sellers are smaller in numbers as well."
EveT205,"Singapore, Singapore",Nov 2019,"On my own with friends, i may not come here. The beach, beach front dining, sunset all so romantic. Business meetings are good too, not much distractions "
anushka r,"Singapore, Singapore",Nov 2019,Nice clean beach. Probably not very suitable for swimming or surfing as where i stayed had a huge reef.
Michael Z,"Shanghai, China",Oct 2019,"If you are a Bali virgin looking for a base camp to explore the island, Nusa Dua area is a safe bet.  Covered by white sand, Nusa Dua beach is a private beach shared by 4 waterfront hotels.  Hotel guest can go from up and down the entire beach, but only use amenities in your own hotel.  Some people swim and snorkel right off the beach, most people just kick back and do nothing.  You can watch sunrise from the beach but not the sunset, because sun sets on the other side of the island.  "
Angelo F,27 contributions,Oct 2019,Beautiful beach. Great view when having drinks at Kul Kul Bar. Family friendly beach. Nusa Dua is the ideal area for those that prefer peace and quiet. 
Escape45459895596,3 contributions,Nov 2019,Water is full of grass and sea things... In the evening is very crowded of local people. Not recommending
Drjon,"Kuala Lumpur, Malaysia",Aug 2019,We stayed at Hilton Hotel Bali Resort at Nusa Dua which was strategically situated along the beach Enjoyed the majestic and natural settings The clifftop view was mesmerising at night Most satisfying was this place it being  away from the hustle and bustle of Kuta areaTranquility was deafening 
royjava6,"The Hague, The Netherlands",Oct 2019,"When on Bali you will find the coolest beaches, world famous all around the world. Nusa Dua is the mostly quiet beaches area at East-Bali, so be prepared for the most beautiful sunrises. Because of the reef the tide is huge. With low tide you can walk to the reef, take care of the low depths in which sea urchins can be. I loved just to sit down in the water, relaxing and enjoy the cool breeze, the floating seaweed. And watch lots of relaxations, like the banana boat rides and other water sports activities (parasailing, surfing, jet-skiing, kite boarding, snorkeling etc.). Too quiet? Take a nice walk along the Nusa Dua Promenade. And have a snack or a drink at one of the many many terraces."
Departure56317057068,54 contributions,Nov 2019,"Nice beach with clear, warm water.  Low tide/high tide is extreme and rapid. The water recedes about 30 ft from high tide and you can walk out to the reef in ankle deep water, which isn’t the greatest when you need to cool off, but pretty cool to see."
Fiona C,"Stroud District, UK",Sep 2019,"Didn't swim in this much, lots dark muddy areas n seaweed, string under currents too. Better to swim in the pools provided. "
Jayne,4 contributions,Nov 2019,Great beach for kids and relaxing! There’s not too many waves so calm for the kids to play without having to worry. They keep it very clean and tidy. There’s some friendly locals selling merchandise but not too many to be annoying 
James M,"Edinburgh, UK",Nov 2019,"Beach nice and is cleaned outside major hotels only of old sea weed. Found plastic along coast of beach, once tide is out not easy to access water as tide goes out quite far. Worth a visit if you are a beach person."
travellor186403,"Coventry, UK",Oct 2019,"Shallow waters, seriously hot and high humidity however lots of trees to take shelter under. one of the best beaches we have ever been to. fully reccomend"
Galos_Airo,"Barcelos, Portugal",Oct 2019,"The beach is nice but the main problem is the dirty (plastic, seaweed, grass, etc:) doesn't make you welcome or comfortable for a swim or even enjoy the sunny days."
LUX ESCAPES 🌏 📸,"Perth, Australia",Nov 2019,What I love most is how sheltered and calm the beach is . Even wirh a large swell the outer reefs take all the waves so it is very safe for swimming and using a paddle board etc. If you go snorkeling you can see fish and lots of star fish in the sand.  You can walk right along the path and past all the different 5 star resorts. You can also eat or have a drink at them which is nice on a sunny day.  Summary- CleanSafeFreeYou won't get hassled on beach like in kuta 
Jeff C,"Bali, Indonesia",Nov 2019,"Relaxing with a warm welcome, lovely hotels along the beach walk with beautiful views out over the sea. Lots of places to stop for a drink or lunch . Bali collection a-good find. Shops and restaurants with many kinds of different foods at very reasonable price compared to the hotels but no sea views . "
Delson smith,5 contributions,Sep 2019,"a very beautiful place .. take a walk around, will really miss the beauty of this beach .. every time i come to bali this place i always visit"
Darren J,Bendigo,Oct 2019,"It's a nice beach, however the resorts dominate so although you can walk along the foreshore you can't use the facilities unless you buy a drink at the overpriced bars"
QuebecDiver,"Mount Royal, Canada",Oct 2019,"People from Bali are very aware of plastic pollution, they do their best to keep the place clean.Very nice people!"
Edward L,"Manila, Philippines",Nov 2019,Not so nice beach. Great for strolling but not for swimming. Low tide during late afternoon for instagram pictures 
Steven G,"Melbourne, Australia",Oct 2019,"Stayed in Inaya Putri Bali. Service is great, efficient and friendly. Spend the whole day in the hotel to enjoy the facilities. Kids love the pool so much they didn’t want to leave. "
Jean1823,"Nagoya, Japan",Oct 2019,"we can swim but the water wasn’t very clear when we went.. but some parts have clear water, maybe it’s because of the waves. nice and quiet where no vendors will keep disturbing you. it was very relaxing. we saw an angel fish swimming near the shore."
Theboardingpasss,"Perth, Australia",Sep 2019,"Just a lovely beach to chill out and relax. A lot of water activities around the area. I did scuba diving, make sure you bargain for a good price. "
Cioata Adina,"Iasi County, Romania",Oct 2019,"We descover a clean place, the  sea is clean. You have a place where you can buy drinks, you have toilets în that aeria. "
Shick59,"Warrnambool, Australia",Oct 2019,"If you are in this part of Bali then I'll recommend you visit the nusa Dua Beach. Lovely clean sand, clear water and the great walking Track along the beach"
SamueleSb,Luxembourg,Oct 2019,"Nisa Dua is the area of resorts in south Bali, so it's not really the authentic Bali, but it's a pleasent place to spend few days  relaxing on the beach. There are also many shops and restaurants and the big Bali Collection shopping centre with a huge selection of restaurants."
Strong_hoses,7 contributions,Oct 2019,It is simply so clean and amazing which shows how much care people of Bali Island have given to give us this satisfying experience. The water is crystal clear and the sand almost massages your feet. I highly recommend this beach to people of all ages and be sun safe!
Dr Parth,"Bhavnagar, India",Oct 2019,"You can enjoy water activities mainly in nusa Dua Beach in Bali. The paragliding, banana boat, scuba dive are the main attraction there.Be aware when you purchase any tour package because they might not include ticket for these activities. "
David S,"Jakarta, Indonesia",Oct 2019,if you’re looking for a tranquility then go to Nusa Dua beach. The ambience is so calm & peace. I would love to see the wave coming to the shore. 
staniland66,"Jakarta, Indonesia",Oct 2019,"Beautiful when the tide is in,  but a bit bleak when the tide is out. Very nice walk from the temple on the headland to Sofitel. Also a nice path at the back of the beach for cycling"
Lisha C.,"Las Pinas, Philippines",Sep 2019,I loved the walk to this beach. It is not as big or as well-kept as other popular beaches on the island but it is free and the walkway from the Grand Hyatt hotel was a great way to see the gardens and get to the beach front. You can also get here from the park neat the Waterblow site.
Nevena P,"Skopje, Republic of North Macedonia",Sep 2019,"The place overall it's very nice, a lot of nice hotels are around, but we did't have a very good expirience on the beach... First of all the wather was very dirty, it was hot but it wasn't nice to swim or enjoy in the wather which was that dirty. When we got out of the wather it was very windy so the sand was all over us, we were hoping that the wind will stop, but it didn't... The other thing that we didn't like was that you have signs on the beach that if you go in the wather you will swim on your own responsability, when you will see red flag on the beach it's high danger, the yellow flag shows medium danger, and the green flag shows no danger at all, but we were walking a lot and all we saw was the red flag, so it was not nice to swim in wather and know that there is a risk something to happen to you... If you are not swimer you can just seat and enjoy in the view, the beach it's beautifull in that point, nice white sand and blue sea..."
GassyDoha,"Singapore, Singapore",Oct 2019,No words to express the beauty of this heaven on earth.Several amenities nearby to compliment your appetite. Perfect for honeymooners and couples. 
Rob Ford,"Guildford, UK",Oct 2019,"Very clean beach - great for snorkelling and lots of bars and restaurants dotted along the beach. White sand, swimming area and not too rough. It’s very peaceful during the day and has atmosphere at night"
Mags35,22 contributions,Oct 2019,"Beautiful clean beach. Lots of space and beach chairs to relax amd enjoy this beautiful part of the world. Nice walks along the beach,including the temple hill and the blowhole. Clean and family friendly m"
willsciano,7 contributions,Nov 2018,It is a nice place to hang out for several hours and swim in clear waters. Not so crowded when I was there.
pmw,"Lindsay, Canada",Oct 2019,"A nice place to visit,strol,see some intreresting craftsl,do some markets and chat with some local people ndeatat a warung"
VFrequentTravellers,"Point Lonsdale, Australia",Oct 2019,We stayed here for the first time and enjoyed the beach. Quite clean all round. Also a lovely walk alongside the beach most of it under lovely tree canopies. Highly recommended!
JaseNZ26,"Auckland, New Zealand",Oct 2019,Pretty good beach I would say. Mostly people swimming outside the Inaya or Ayoda resorts. Colder than the hotel pools. Waves can pull you out a bit so be careful with children. See locals fishing out there as well. People surfing. Sand gets very hot during the day. Otherwise nice view and good to relax in front of with a beer.
R3N4,14 contributions,Oct 2019,"Whenever we come to Bali, we keep on staying at nusa dua. Either at sofitel, mulia, westin, clubmed or nusa due beach resort they situated next to each other on same stretch. You literally can walk from end to end the walking path is well kept and safe. Best for honeymooners or even family. "
shweta_jadhav,"Thane, India",Oct 2019,"Beautiful private beach, clean beach. Safe for travellers and good place to relax and unwind with few bars on the beach"
KodoDrummer,"Yekaterinburg, Russia",Oct 2019,This is the only beach I've been to where there is a dramatic difference between high and low tide. At low tide it didn't look so nice on the right hand side of our hotel. The overall quality of the beach is self evident from the many nicer hotels backing onto the beach.
murray_peter113,"Melbourne, Australia",Sep 2019,We chose to stay at aresort next to the beach. The main problem was that for the first week thw tide seemed to out for most of the day so it was not suitable for swimming but in the second week the high tide was in the middle of the day and we had a great swim. The sand is white unlike the busy Kuta side of the island. It is not really busy and a really relaxing way to spend your holidays layong around and observing the view. Evidently there were dangers like stepping on sea urchins at low tide but signs alerted you to the dangers. The low tide provided you with the opportunity to walk out to the edge of the reef and look in the rock pools. 
Petra L,"Ljubljana, Slovenia",Nov 2018,"We have been in Bali in 1999, staying in Sanur and we said if we ever come again we will stay in Nusa Dua, because we liked the beach so much.20 years later we return , the beach is nothing like it was.The water was dirty, trash everywhere...Really sad.But Bali still awesome!"
Rosa V,"Melbourne, Australia",Oct 2019,"I was disappointed in the beaches,if there were nice beaches in Nusa Dua I certainly didn’t find them,looks lovely at a distance but not up close but at night with the lights and surrounding restaurants in Nusa Dua it looked a picture"
AirineH,5 contributions,Oct 2019,"Nusa dua beach always been our favourite escape from the hectic life in Jakarta. The beach is clean, private, the view is great. We can just sit down and lie back under the tree and sleep without thinking about anything, what a relax way of spending a day!"
Pakemon Bali Tour,"Denpasar, Indonesia",Oct 2019,this place will satisfy your mind when you are in this place ..... fresh air is almost without pollution you can enjoy here ... it's not wrong if you make this place as one of your travel agenda on the island of Bali ....
Wixters,"Perth, Australia",Oct 2019,"Coming from WA where we have excellent beaches it was hard to like this beach.  The sand is very corse under foot.  The water did seem clear and our son enjoyed playing in it, but it’s not the quality we are used to.  At least the bean bags and sun beds under the parasols were free (2.28 beach club) for Novotel guests.  I think it’s a cheek asking 33000 for a small bottle of water then adding %21 service charge on top."
Alison G,9 contributions,Sep 2019,Beautiful beach. Nice and quiet. Always  clean. Good choice of restaurants and cafes along the length.
Lina K,2 contributions,Sep 2019,"One of the rare beaches where you could actually swim in Bali. Even in low tide, it is still swimmable on some places. But, be there earlier, cause the sun sets before 17h and not in the ocean, as it sets in Kuta.Clean and lovely!"
Bogdan N,"Shanghai, China",Oct 2019,"Went here with our kids. Place is clean, sand is nice, water is good. Best time to go is in the morning."
aldofuels,"Rijeka, Croatia",Sep 2019,The beach is not for a people who like to swim but it is a long and nice for walking. All the time is windy. 
Dubai.martin,7 contributions,Sep 2019,Boring Family only area Overpriced No Bali spirit Never come here again Worst area in Bali Boring Family only area Overpriced No Bali spirit Never come here again Worst area in Bali 
axels,"Lillehammer, Norway",Oct 2018,"We have been strolling along this beach 3 times - it's very beautiful, fine sand, very clear water and calm. A couple of nice beach resorts, too - our next Bali holidays will be here somewhere :)"
DShalders,"Glen Waverley, Australia",Sep 2019,Stayed at Novotel Nusa Dua and Visited the death with family of 5 being 2 adults and 3 kids 13-7 age.  First time to Bali and Nusa Dua and had to visit the beach to have a look. And we weren’t let down with beautiful views.  But it is very busy with the large resorts having 100’s of lounges on the beach.Wasn’t for us the foreshore is great for a walk.
Siby Tirado,"Lima, Peru",Mar 2019,"Crowded...too many tourist, but still beautiful landscapes and the locals of course more than friendly."
Timir P,"London, UK",Sep 2019,"Nusa Dua beach is a splendid location to spend the day. It is large and open with no restrictions along the way, each hotel along the beach has loungers which are kept away and don't interrupt a pleasant walk. The beach is kept clean my the diligent staff of the hotels, and is a beautiful place to witness a sunrise."
Dolman333,124 contributions,Sep 2019,A lovely beach with a giant shallow area which stays in even at low tide and warms up to a great temperature for children to play in.The blowhole is right next door but only works closest to high tide.
Seaside53239922634,"Singapore, Singapore",Sep 2019,Amazing quiet private beach away from the hustle and bustle of the city beach. Great if you wanna have a little private time here
Erica,33 contributions,Aug 2019,"In there, you can in for free. Also, there many beach. When i go there, i can go walk until the center of beach. Because, the water is down. In there, its so hot."
Craig D,"Perth, Australia",Sep 2019,Have been here for a week. Went to the beach at high tide every afternoon. Beach is cleaned daily and there is no swell or surf. Grandchildren all four and under and totally safe. Would give this beach 11/10!!
CoinsExplorer,"London, UK",Sep 2019,"Highly Recommended for your Stay and great Breath Taking Visit of Bali, one of the Best Holiday Spot, in Indonesia "
KJM,"Howth, Ireland",Sep 2019,The beach by the St Regis hotel was beautiful . A quiet beach perfect for couples on a romantic get away from busy beaches 
AMCW2013,"Melbourne, Australia",Sep 2019,We have spend just over a week in Nusa Dua staying at the Grand Hyatt. Beautiful beach which is well kept outside of the Grand Hyatt. Lots of rocks to walk over at low tide. Nice to swim in. Was jellyfish season when we were there but swam with no issues. Beautiful beach to watch sunrises. 
Radhika S,"London, UK",Sep 2019,Lovely sandy beaches with beautiful warm clear waters. Could do nice water sports here including jet skiing with lovely views!
Carol Webb,"Western Australia, Australia",Sep 2019,"Not your busy hectic beach like kuta.Here you can relax and just watch the world go by. Mostly accessible by hotels alongvfb the beach but there is a hub of activity during the day past the St Regis hotel. Great cafes, and onbthe beach massages which are pretty good! "
ludu_mada,"Cluj-Napoca, Romania",Sep 2019,"I liked going to Nusa Dua Beach for 2 reasons: it was quiet (no music) and the beach wasn’t all full of sunbeds. We went specifically to Novotel’s beach for that.In the morning the wawes were very powerfull so there was no chance of swimming, but after 2 pm it was ok.Also, there were some seaweeds but there were people gathering it from the beach. "
GnM-Burra,"Canberra, Australia",Aug 2019,"We found a great driver while catching the free bus from The Bali Connection back to our resort. His name is Putu and his WhatsApp number is +62 819-9904-0601His brother, Eddie, collected us in  a brand new air conditioed car and  drove us to the Water Temple, back through Ubud for lunch and then across to Sanur on our way home.Cost for the day was most reasonable and about a third of the day rate offered by the resort."
Chris Bacon,10 contributions,Sep 2019,Great sandy beach lots of fun walking in the sea a beach well worth visiting lots of place to sit and relax also to have fun amongst the waves
Neil K,20 contributions,Aug 2019,if you love sun you will love Nusa Dua.  If you are one of those that love sun but stay in the shade you will love being on the Nusa Dua Beach at the Nusa Dua Beach and Resort Hotel.  The beach is beautiful.  Water clean and employees just perfect.  You will learn to love them all as we have over the years.  Try here and you will see just how wonderful life can be.
Dario,2 contributions,Sep 2019,Never saw a nicer beach without water. By 11am the water is going back (so anything what stay is stinking seatrash) and come again sometimes in the night. Swimming is possible from 5am to 11am
Ellen P,"Jakarta, Indonesia",Sep 2019,"Went here one late afternoon after having a spa at the nearby shopping center. It was low tide when we were there, so we just stroll along the beach. There were some people  jogging & cycling. There are seating along certain stretch of the beach, as well as some big restaurants & a beach club. The weather is nice & breezy in late afternoon. Good for relaxing."
Pedro_Collins68,"Box Hill, Australia",Aug 2019,"This was our first visit to Nusa Dua beach. We have been to Seminyak in a previous trip so we were so surprised to see that the beach was so beautiful to swim in. There are water sports on the beach, people playing volleyball and a beautiful atmosphere. It’s a must to visit. I had some preconceived ideas that it would be expensive but it really wasn’t. And in some cases the shopping was cheaper than Seminyak. Would visit again. Especially with young children and families. "
greenmanners,4 contributions,Sep 2019,"I had a few swims in Nusa Dua this year and on a holiday last year.  While the swimming is good and the snorkelling is amazing (lionfish, angelfish, honeycomb moray eel etc) the sea is full of plastic and other rubbish.     "
Big Raj,3 contributions,Sep 2019,"The beach is amazing to look at. The water is so blue and clean. The beach itself has lovely hot sand beneath your feet. The time we went, wasn’t busy at all which meant we had our own spot to relax on. Definitely worth a trip to this beach. Restaurants on the beach sideline, but limited amount so more are needed."
melaniew762,"Dallas, TX",Sep 2019,"Great for runs along the seaside, lounging in sun chairs or swimming! Beautiful beach with a nice boardwalk as well. "
Village49,"Bellevue, WA",Mar 2019,Wonderful beach to enjoy. Overall pretty clean for Bali. Be sure to bring your sun tan lotion. Nice restaurants near by. 
somalghamdi,"Jeddah, Saudi Arabia",Aug 2019,I loved this place because the atmosphere is very romantic and very quiet with no noise of the city❤️❤️
Graeme W,15 contributions,Jul 2019,"I recently swam at the Nusa Dua beach adjacent to the Grand Hyatt Resort. The combination of a protective reef, warmer water and relative absence of under tows made my water experience a memorable one. The water & sands are pristine & the gentle on shore breezes were very relaxing and perfect for the sport of kite flying. A short walk to the north takes you to the blowhole point where spectacular waves crash onto the rocks & explode high into the air to the delight of the many onlookers.  There are quite a lot of shade trees along the foreshore if sunbathing is not your thing which incidentally are populated by many cheeky squirrels who demand to be fed despite the practice being warned against by numerous signs in the area. To sum up, this is a beautiful clean beach which will not disappoint."
Michael mcamis,4 contributions,Aug 2019,Great place for families or solo trip. The hotel is very accommodating. Cathey PACIFIC/DRagon AIRLINES lOST oR went tHOUGH my luggage   mY sEIZURE mEDICATION cAME UP MISSING. they have a  DR at the resort that was helpful. BEAUTIFUL VIEWS. right next to the beach. prenty to do great shopping Just down the street as well
Simon B,"City of Greater Geelong, Australia",Sep 2019,"A lovely walk on wide paved path that runs behind Nusa Dua beach is terrific experience. Whether watching action (water sports) on water, tourist play/relax on beach or the amazing resorts/gardens. Best times around dawn and dusk."
Greg W,"North Sydney, Australia",Sep 2019,"Probably one of very few beaches I would actually swim in. It’s clean and the waves manageable for those of us that is not into surfing. Also the Hotels hire people to continually clean the stretch of beach so you don’t get to see rubbish, plastics, or even seaweed. A must go to swimming area if you are close by. "
Carlos L,"Lisbon, Portugal",Sep 2019,"small, windy and almost always low tidelots of boats arriving and a smell of gasoline when they arrive"
