nama,tgl_ulasan,ulasan,ulasan_emoji,ulasan_emot,ulasan_fold,ulasan_punct,ulasan_stop,ulasan_freq,ulasan_rare,ulasan_stem,review,scores,compound,sentiment
Amanda & Moha,19-Oct,"Had so much fun at double six last time i was there im going again in the next few days. There will be a break in the rain and I'm there. Very impressed with the food but you cant beat the atmosphere with lanterns under coloured umbrellas. Have to mention the double apple shisha and the bands. The lovely happy staff and the waves crashing, its an awesome sunset.","Had so much fun at double six last time i was there im going again in the next few days. There will be a break in the rain and I'm there. Very impressed with the food but you cant beat the atmosphere with lanterns under coloured umbrellas. Have to mention the double apple shisha and the bands. The lovely happy staff and the waves crashing, its an awesome sunset.","Had so much fun at double six last time i was there im going again in the next few days. There will be a break in the rain and I'm there. Very impressed with the food but you cant beat the atmosphere with lanterns under coloured umbrellas. Have to mention the double apple shisha and the bands. The lovely happy staff and the waves crashing, its an awesome sunset.","had so much fun at double six last time i was there im going again in the next few days. there will be a break in the rain and i'm there. very impressed with the food but you cant beat the atmosphere with lanterns under coloured umbrellas. have to mention the double apple shisha and the bands. the lovely happy staff and the waves crashing, its an awesome sunset.",had so much fun at double six last time i was there im going again in the next few days there will be a break in the rain and im there very impressed with the food but you cant beat the atmosphere with lanterns under coloured umbrellas have to mention the double apple shisha and the bands the lovely happy staff and the waves crashing its an awesome sunset,much fun double six last time im going next days break rain im impressed food cant beat atmosphere lanterns coloured umbrellas mention double apple shisha bands lovely happy staff waves crashing awesome sunset,much fun last time im going next days break rain im impressed food cant beat atmosphere lanterns coloured umbrellas mention apple shisha bands lovely happy staff waves crashing awesome,much fun last time im going next days break rain im impressed food cant beat atmosphere lanterns coloured umbrellas mention apple shisha bands lovely happy staff waves crashing awesome,much fun last time im go next day break rain im impress food cant beat atmospher lantern colour umbrella mention appl shisha band love happi staff wave crash awesom,much fun last time im go next day break rain im impress food cant beat atmosphere lantern colour umbrellas mention apple shisha band lovely happy staff wave crash awesome,"{'neg': 0.062, 'neu': 0.529, 'pos': 0.409, 'compound': 0.9442}",0.9442,1
GlobetrotterJ16,19-Mar,"Double Six is a wide beach area between Seminyak and Kuta. A few hotels are next to it but it is one of the more underdeveloped areas of Bali. When we were there the beach was quite dirty, it was shocking to be honest, according to some reviews it has improved a lot it seems. We strolled along the beach all the way from Seminyak to Kuta and it is a fantastic beach walk, and once the sun starts to set even more picturesque.","Double Six is a wide beach area between Seminyak and Kuta. A few hotels are next to it but it is one of the more underdeveloped areas of Bali. When we were there the beach was quite dirty, it was shocking to be honest, according to some reviews it has improved a lot it seems. We strolled along the beach all the way from Seminyak to Kuta and it is a fantastic beach walk, and once the sun starts to set even more picturesque.","Double Six is a wide beach area between Seminyak and Kuta. A few hotels are next to it but it is one of the more underdeveloped areas of Bali. When we were there the beach was quite dirty, it was shocking to be honest, according to some reviews it has improved a lot it seems. We strolled along the beach all the way from Seminyak to Kuta and it is a fantastic beach walk, and once the sun starts to set even more picturesque.","double six is a wide beach area between seminyak and kuta. a few hotels are next to it but it is one of the more underdeveloped areas of bali. when we were there the beach was quite dirty, it was shocking to be honest, according to some reviews it has improved a lot it seems. we strolled along the beach all the way from seminyak to kuta and it is a fantastic beach walk, and once the sun starts to set even more picturesque.",double six is a wide beach area between seminyak and kuta a few hotels are next to it but it is one of the more underdeveloped areas of bali when we were there the beach was quite dirty it was shocking to be honest according to some reviews it has improved a lot it seems we strolled along the beach all the way from seminyak to kuta and it is a fantastic beach walk and once the sun starts to set even more picturesque,double six wide beach area seminyak kuta hotels next one underdeveloped areas bali beach quite dirty shocking honest according reviews improved lot seems strolled along beach way seminyak kuta fantastic beach walk sun starts set even picturesque,wide area seminyak kuta hotels next one underdeveloped areas quite dirty shocking honest according reviews improved lot seems strolled along way seminyak kuta fantastic walk sun starts set even picturesque,wide area seminyak kuta hotels next one underdeveloped areas quite dirty shocking honest according reviews improved lot seems strolled along way seminyak kuta fantastic walk sun starts set even picturesque,wide area seminyak kuta hotel next one underdevelop area quit dirti shock honest accord review improv lot seem stroll along way seminyak kuta fantast walk sun start set even picturesqu,wide area seminyak kuta hotel next one underdeveloped area quite dirty shock honest accord review improve lot seem stroll along way seminyak kuta fantastic walk sun start set even picturesque,"{'neg': 0.142, 'neu': 0.562, 'pos': 0.296, 'compound': 0.7644}",0.7644,1
widya artika,19-Oct,"We really took a great time here to enjoy the sunset. The service was good and comfortable, we didn't even realise the time here as we talked and enjoyed the view.","We really took a great time here to enjoy the sunset. The service was good and comfortable, we didn't even realise the time here as we talked and enjoyed the view.","We really took a great time here to enjoy the sunset. The service was good and comfortable, we didn't even realise the time here as we talked and enjoyed the view.","we really took a great time here to enjoy the sunset. the service was good and comfortable, we didn't even realise the time here as we talked and enjoyed the view.",we really took a great time here to enjoy the sunset the service was good and comfortable we didnt even realise the time here as we talked and enjoyed the view,really took great time enjoy sunset service good comfortable didnt even realise time talked enjoyed view,really took time enjoy service comfortable didnt even realise time talked enjoyed view,really took time enjoy service comfortable didnt even realise time talked enjoyed view,realli took time enjoy servic comfort didnt even realis time talk enjoy view,really take time enjoy service comfortable didnt even realise time talked enjoy view,"{'neg': 0.0, 'neu': 0.494, 'pos': 0.506, 'compound': 0.8814}",0.8814,1
Nikz1390,19-Nov,Good place to relax with various shacks and places to sit . Most restaurants have sitting area and evening live music on beach at restaurants ,Good place to relax with various shacks and places to sit . Most restaurants have sitting area and evening live music on beach at restaurants ,Good place to relax with various shacks and places to sit . Most restaurants have sitting area and evening live music on beach at restaurants ,good place to relax with various shacks and places to sit . most restaurants have sitting area and evening live music on beach at restaurants ,good place to relax with various shacks and places to sit  most restaurants have sitting area and evening live music on beach at restaurants ,good place relax various shacks places sit restaurants sitting area evening live music beach restaurants,relax various shacks places sit restaurants sitting area evening live music restaurants,relax various shacks places sit restaurants sitting area evening live music restaurants,relax variou shack place sit restaur sit area even live music restaur,relax various shack place sit restaurant sit area even live music restaurant,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}",0.4404,1
Swanand Oak,19-Nov,"A lot of cafes, bars and restaurants with variety of vegetarian and non-vegetarian options. Prompt service by staff.","A lot of cafes, bars and restaurants with variety of vegetarian and non-vegetarian options. Prompt service by staff.","A lot of cafes, bars and restaurants with variety of vegetarian and non-vegetarian options. Prompt service by staff.","a lot of cafes, bars and restaurants with variety of vegetarian and non-vegetarian options. prompt service by staff.",a lot of cafes bars and restaurants with variety of vegetarian and nonvegetarian options prompt service by staff,lot cafes bars restaurants variety vegetarian nonvegetarian options prompt service staff,lot cafes bars restaurants variety vegetarian nonvegetarian options prompt service staff,lot cafes bars restaurants variety vegetarian nonvegetarian options prompt service staff,lot cafe bar restaur varieti vegetarian nonvegetarian option prompt servic staff,lot cafe bar restaurant variety vegetarian nonvegetarian option prompt service staff,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,1
The World is My Oyster,19-Nov,Really couldn't get enough on how incredibly amazing the sunset was. The beach got real crowded with hundreds of colorful bean bags and umbrellas. The live music was also so cool and created an amazing atmosphere. An absolute must do while in Bali!,Really couldn't get enough on how incredibly amazing the sunset was. The beach got real crowded with hundreds of colorful bean bags and umbrellas. The live music was also so cool and created an amazing atmosphere. An absolute must do while in Bali!,Really couldn't get enough on how incredibly amazing the sunset was. The beach got real crowded with hundreds of colorful bean bags and umbrellas. The live music was also so cool and created an amazing atmosphere. An absolute must do while in Bali!,really couldn't get enough on how incredibly amazing the sunset was. the beach got real crowded with hundreds of colorful bean bags and umbrellas. the live music was also so cool and created an amazing atmosphere. an absolute must do while in bali!,really couldnt get enough on how incredibly amazing the sunset was the beach got real crowded with hundreds of colorful bean bags and umbrellas the live music was also so cool and created an amazing atmosphere an absolute must do while in bali,really couldnt get enough incredibly amazing sunset beach got real crowded hundreds colorful bean bags umbrellas live music also cool created amazing atmosphere absolute must bali,really couldnt get enough incredibly amazing got real crowded hundreds colorful bean bags umbrellas live music also cool created amazing atmosphere absolute must,really couldnt get enough incredibly amazing got real crowded hundreds colorful bean bags umbrellas live music also cool created amazing atmosphere absolute must,realli couldnt get enough incred amaz got real crowd hundr color bean bag umbrella live music also cool creat amaz atmospher absolut must,really couldnt get enough incredibly amaze get real crowd hundred colorful bean bag umbrellas live music also cool create amaze atmosphere absolute must,"{'neg': 0.0, 'neu': 0.613, 'pos': 0.387, 'compound': 0.8998}",0.8998,1
Indira N,19-Oct,"Lovely beach club right by the beach, great music, food and ambiance, a definite hit! I had an awesome time everytime I came, which was often.","Lovely beach club right by the beach, great music, food and ambiance, a definite hit! I had an awesome time everytime I came, which was often.","Lovely beach club right by the beach, great music, food and ambiance, a definite hit! I had an awesome time everytime I came, which was often.","lovely beach club right by the beach, great music, food and ambiance, a definite hit! i had an awesome time everytime i came, which was often.",lovely beach club right by the beach great music food and ambiance a definite hit i had an awesome time everytime i came which was often,lovely beach club right beach great music food ambiance definite hit awesome time everytime came often,lovely club right music food ambiance definite hit awesome time everytime came often,lovely club right music food ambiance definite hit awesome time everytime came often,love club right music food ambianc definit hit awesom time everytim came often,lovely club right music food ambiance definite hit awesome time everytime come often,"{'neg': 0.0, 'neu': 0.5, 'pos': 0.5, 'compound': 0.875}",0.875,1
KevMac1960,19-Nov,Nice enough beach which appeared to be pretty popular with surfers. Unfortunately it seemed a bit grubby to me and the hawkers were a bit of a pain. It was all ok but I imagine their nicer places to spend a day on the sand. I may not be a good reviewer for this place as I’m not really a beach person ha ha,Nice enough beach which appeared to be pretty popular with surfers. Unfortunately it seemed a bit grubby to me and the hawkers were a bit of a pain. It was all ok but I imagine their nicer places to spend a day on the sand. I may not be a good reviewer for this place as I’m not really a beach person ha ha,Nice enough beach which appeared to be pretty popular with surfers. Unfortunately it seemed a bit grubby to me and the hawkers were a bit of a pain. It was all ok but I imagine their nicer places to spend a day on the sand. I may not be a good reviewer for this place as I’m not really a beach person ha ha,nice enough beach which appeared to be pretty popular with surfers. unfortunately it seemed a bit grubby to me and the hawkers were a bit of a pain. it was all ok but i imagine their nicer places to spend a day on the sand. i may not be a good reviewer for this place as i’m not really a beach person ha ha,nice enough beach which appeared to be pretty popular with surfers unfortunately it seemed a bit grubby to me and the hawkers were a bit of a pain it was all ok but i imagine their nicer places to spend a day on the sand i may not be a good reviewer for this place as i’m not really a beach person ha ha,nice enough beach appeared pretty popular surfers unfortunately seemed bit grubby hawkers bit pain ok imagine nicer places spend day sand may good reviewer place i’m really beach person ha ha,enough appeared pretty popular surfers unfortunately seemed bit grubby hawkers bit pain ok imagine nicer places spend day sand may reviewer i’m really person ha ha,enough appeared pretty popular surfers unfortunately seemed bit grubby hawkers bit pain ok imagine nicer places spend day sand may reviewer i’m really person ha ha,enough appear pretti popular surfer unfortun seem bit grubbi hawker bit pain ok imagin nicer place spend day sand may review i’m realli person ha ha,enough appear pretty popular surfer unfortunately seem bit grubby hawker bite pain ok imagine nicer place spend day sand may reviewer i’m really person ha ha,"{'neg': 0.142, 'neu': 0.448, 'pos': 0.41, 'compound': 0.8676}",0.8676,1
Tissai,19-Nov,"Nice Beach, not suitable for swimming, but great for surfing. Many bars with live music in evening to watch the sunset.","Nice Beach, not suitable for swimming, but great for surfing. Many bars with live music in evening to watch the sunset.","Nice Beach, not suitable for swimming, but great for surfing. Many bars with live music in evening to watch the sunset.","nice beach, not suitable for swimming, but great for surfing. many bars with live music in evening to watch the sunset.",nice beach not suitable for swimming but great for surfing many bars with live music in evening to watch the sunset,nice beach suitable swimming great surfing many bars live music evening watch sunset,suitable swimming surfing many bars live music evening watch,suitable swimming surfing many bars live music evening watch,suitabl swim surf mani bar live music even watch,suitable swim surf many bar live music evening watch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,1
MaryBolo,19-Nov,We loved it here! The atmosphere was amazing and the sunset was out of the world! Definitely a must visit when visiting Bali💕,We loved it here! The atmosphere was amazing and the sunset was out of the world! Definitely a must visit when visiting Bali,We loved it here! The atmosphere was amazing and the sunset was out of the world! Definitely a must visit when visiting Bali,we loved it here! the atmosphere was amazing and the sunset was out of the world! definitely a must visit when visiting bali,we loved it here the atmosphere was amazing and the sunset was out of the world definitely a must visit when visiting bali,loved atmosphere amazing sunset world definitely must visit visiting bali,loved atmosphere amazing world definitely must visit visiting,loved atmosphere amazing world definitely must visit visiting,love atmospher amaz world definit must visit visit,love atmosphere amazing world definitely must visit visit,"{'neg': 0.0, 'neu': 0.318, 'pos': 0.682, 'compound': 0.8934}",0.8934,1
N2N,19-Nov,"Wonderful beach to holiday, great place to watch sunset with a drink, food and music, good for families and couple.","Wonderful beach to holiday, great place to watch sunset with a drink, food and music, good for families and couple.","Wonderful beach to holiday, great place to watch sunset with a drink, food and music, good for families and couple.","wonderful beach to holiday, great place to watch sunset with a drink, food and music, good for families and couple.",wonderful beach to holiday great place to watch sunset with a drink food and music good for families and couple,wonderful beach holiday great place watch sunset drink food music good families couple,wonderful holiday watch drink food music families couple,wonderful holiday watch drink food music families couple,wonder holiday watch drink food music famili coupl,wonderful holiday watch drink food music family couple,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.7506}",0.7506,1
mutiaraputrilestari,19-Jun,"Double Six Beach is one of the never ending happening spot in Bali! What makes it become everyone's favourite is because it's strategic location for a sunset catcher, not too far away from Kuta Beach but way cleaner, nice sand and has a lot of fancy beach bars and restos to chill out. We can find a lot of domestic and foreign tourists here have fun by soaking up the sun, playing by the beach or surfing.","Double Six Beach is one of the never ending happening spot in Bali! What makes it become everyone's favourite is because it's strategic location for a sunset catcher, not too far away from Kuta Beach but way cleaner, nice sand and has a lot of fancy beach bars and restos to chill out. We can find a lot of domestic and foreign tourists here have fun by soaking up the sun, playing by the beach or surfing.","Double Six Beach is one of the never ending happening spot in Bali! What makes it become everyone's favourite is because it's strategic location for a sunset catcher, not too far away from Kuta Beach but way cleaner, nice sand and has a lot of fancy beach bars and restos to chill out. We can find a lot of domestic and foreign tourists here have fun by soaking up the sun, playing by the beach or surfing.","double six beach is one of the never ending happening spot in bali! what makes it become everyone's favourite is because it's strategic location for a sunset catcher, not too far away from kuta beach but way cleaner, nice sand and has a lot of fancy beach bars and restos to chill out. we can find a lot of domestic and foreign tourists here have fun by soaking up the sun, playing by the beach or surfing.",double six beach is one of the never ending happening spot in bali what makes it become everyones favourite is because its strategic location for a sunset catcher not too far away from kuta beach but way cleaner nice sand and has a lot of fancy beach bars and restos to chill out we can find a lot of domestic and foreign tourists here have fun by soaking up the sun playing by the beach or surfing,double six beach one never ending happening spot bali makes become everyones favourite strategic location sunset catcher far away kuta beach way cleaner nice sand lot fancy beach bars restos chill find lot domestic foreign tourists fun soaking sun playing beach surfing,one never ending happening spot makes become everyones favourite strategic location catcher far away kuta way cleaner sand lot fancy bars restos chill find lot domestic foreign tourists fun soaking sun playing surfing,one never ending happening spot makes become everyones favourite strategic location catcher far away kuta way cleaner sand lot fancy bars restos chill find lot domestic foreign tourists fun soaking sun playing surfing,one never end happen spot make becom everyon favourit strateg locat catcher far away kuta way cleaner sand lot fanci bar resto chill find lot domest foreign tourist fun soak sun play surf,one never end happen spot make become everyones favourite strategic location catcher far away kuta way clean sand lot fancy bar restos chill find lot domestic foreign tourist fun soak sun playing surf,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.7783}",0.7783,1
