Name,Country,Date,Content
Alina,"Moscow, Russia",Aug 2019,Good waves to serf🏄🏻‍♀️Wonderful sunset🌅Clear ocean 🤙🏻Nice beach and nature 🏖🏝I like this place and I’ll return😉
Debbydoodardar,"Burnie, Australia",Aug 2019,We have been coming to Bali for 25 years and had stayed at Berawa side of Canggu before and loved it there so we booked a lovely bed and breakfast at Echo Beach - big mistake - the accomodation was sensational and we can’t thank them enough for their assistance as we needed to leave Canggu early. Canggu is for young party and beach goers and is NOT for seniors like us at all.  I have never felt so out of place in my life.We walked to the beach through the Echo Beach dirt carpark to be greeted by piles of stinking garbage baking in the sun and a crowded black sand beach full of the young trendies - so not our scene.We stayed 1 night and put up with thumping music being carried in the breeze until early hours of the morning and then headed back to South Kuta where it is a slower pace and where we feel at home.I am posting this review just to let others in the same age group (60 plus - and we are very young at heart) that it’s for young people here at Canggu - party party 🎉 
Amalia S,"Jakarta, Indonesia",Aug 2019,"Not that easy to find a good spotfor use to lay down ourselves in that beach. We have to walk along the end tip to nearly the other tip, nearly reach the finns beach club. Nice place to enjoy with your partner; sun bathing, perhaps not swimming because it's too dangerous! Long walk is the best place to try..."
Jonnytwosocks,"Dubai, United Arab Emirates",Aug 2019,"Again- not impressed.  The place is over crowded, riddled with silly scooters, and has a rocky and dirty sandy beach. The little beach front restaurants are pretty decent but not worthy of more than a 3... Bintan is far better! So is Dubai!"
BundyRed,"Duncraig, Australia",Aug 2019,"Always teaming with life every morning , some good. Waves on offer here and can get quite busy.Noticed many individual groups cleaning different parts of the beach each morning too."
philipbZ8524BX,"Perth, Australia",Jul 2019,"the Canggu beach is a very trendy beach, virtually no hassle from hawkers. It has a modern vibe and has lovely cafe style eats and bars. very relaxed and hassle free."
Charmaine Forbes,4 contributions,Jul 2019,Canggu beach is away from the hustle and bustle of the bugger cities in Bali. We went there for a week of rest and relaxation and thus spot delight goods. Not once were we accosted by T-shirt sellers. On a number of occasions we went to the Lawn resort and the food was exquisite.
Pioneer826629,"Madrid, Spain",Jul 2019,"Along Canggu Beach you can find great bars, places to do surf and it is not as crowded as in seminyak."
Natalie P,"Sydney, Australia",Aug 2019,I have always stayed in Legian this time I decided to try different place .. and I love it canguu is so good I will definitely be staying here from now on
Tats S,"Sydney, Australia",Jul 2019,Black sand and dog poo - entertainment plus!! watching people walking along the beach and in the surf being wiped out by large waves. 
chicagochica801,"Chicago, IL",Jun 2019,"The beach is gorgeous.  But there are a ton of stray dogs.  They mostly leave people alone, but it is hard to see.  There are hundreds of surfers.  The restaurants along the beach are great.  Some have music, food and drinks are cheap.  "
emma,World,Jul 2019,"Big waves and black sand, not the cleanest though. More ideal for surfers not swimmers or kids. People are all chilled here enjoying their time."
cl41r3,"Nottingham, UK",May 2019,"Spent a couple of hours relaxing aT Canggu beach. Great little cafes and places to eat, lovely long beach which was super busy with surf schools. So if you fancy surf lessons or catching a few rays whilst watching the surfers. This is a great beach to head to. "
kathy c,"Perth, Australia",May 2019,"We had never been to Canggu previously and took this opportunity as we were staying at nearby Seminyak. the first thing noticed in the journey is the conditions of the road is lesser than Kuta and Seminyak, it is slower and packed, but when you arrive at the beach that is forgotten. It is more a young persons location as the surf is much better than Jimbarin, Kuta and Seminyak the shops are in the proximity of the beach are upmarket and there are very good eating places. they still have their markets and pop ups, but they are a couple of Ks away. No shortage of Accommodation and if you are for a good board surf then this is the location."
Inneke W,"Jakarta, Indonesia",Jun 2019,"It’s a nice & cozy hotel. Hotel staffs are helpful. There was a day that my room was cleaned twice. Staffs take off their shoes during  cleaning process. I was disappointed when it comes to pillow. Pillows were dirty full of brown spot, I was asking for clean pillows but still get the pillow with brown spot. It would be better if hotel has spare clean pillow to replace the dirty ones. "
NicoleReimer,"Munich, Germany",Jun 2019,"We love Canggu, loved it 5 years ago and still enjoy the place. It offers everything in a short distance, eg. restaurants (every price range), Spas, laundry’s It is busier and more crowded but you still can find relaxing places. The shops are more like boutiques which is different to former times and there are a lot of new international restaurants like pizza, mexican or greece food.Luckily there are still enough „warungs“ providing the delicious Balinese food."
kimgirbin,"Auckland Central, New Zealand",Jun 2019,"I came to work at the dojo, and canggu beach was my happy place to do morning and night walks. Makes me want to learn how to surf, next time for sure "
Bernhard B,"Linz, Austria",Jun 2019,"We stayed in Bali for 3 weeks and we always booked Agung. He ist absolutely trustworthy, always on time and has reasonable prices. We can absolutely recommend Agung. His number is  +62 812-3801-4543 You find him on WhatsApp."
JosefaWong,"Hong Kong, China",Jun 2019,The beach is very good for surfing but not swimming. There are so many nice and friendly coaches available here.  My son’s coach Yudy taught him so well. He improved his surfing so much after 3 lessons. 
Suzee,7 contributions,Jun 2019,We did a day trip to Canggu Beach & loved it BUT walking to buy lunch we saw a great rate at a money exchange booth on the roadside (big mistake)..  3 men were running it & after I counted the money twice & placed it on the counter while they asked if we had small change.... Obviously while we were looking in our bags the guy behind the counter took a heap of money from the pile I had counted without us seeing!! When we got home we counted & were missing a lot of the money!  We were back in Ubud & no receipt either which wouldn't have mattered anyway!    Our day was ruined & our trust totally gone!     We warn others in the area... It was just a wooden makeshift 'office'on the side of the road... Be careful!     Not far from the beach.. LHS  heading away from the beach
Yoanna S,20 contributions,Jun 2019,"If you're looking for a nice and less crowded beach, you should come here. It's a good place to escape from the busy big cities.One more good thing I found is the food. I especially love the local food. Very tasty!"
robton,"Sydney, Australia",Jun 2019,"Having travelled to Bali many times over the last 25 years, we never considered going to stay in Canggu, up and till now. Big mistake !!!! Should have stayed with the devil we already knew, however that not being the case we paid the price. What an absolute nightmare Canggu turned out to be. Certainly not the quiet and sleepy Bali we've come to know over the years. Having rented a fairly expensive villa for 12 days, we encountered nothing more but loud music ( till 3am every morning ) and the roaring motorbikes up to all hours of the night, the screaming and often drunken nightclub revellers making their way back to their backpackers facilities after the nightclubs closed, and so on and so on. Admittedly, our villa was very close to the beach front near the end of the main road, so villa's situated further away from the beach might be more quiet, so be aware where you book your accommodation. If you are young and love surfing and do the clubs this place is for you, but those seeking a holiday without loud music and nightlife then stay away. We certainly will never be back to Canggu, never !!"
Bali2u0812,"Bali, Indonesia",Jun 2019,This is predominantly a surfing beach which has volcanic grey sand and often has rubbish along the sand and in the water so we don't swim here. 
ozzztraveler,"Melbourne, Australia",Jun 2019,"Good for walking along, and surfing but not swimming due to strong rips.A few local night bars have opened up along the beach next to Fins beach club."
LUX ESCAPES 🌏 📸,"Perth, Australia",Jun 2019,"If your coming here to sunbathe and chill if give it a miss , it's volcanic black sand will get everywhere and can ruin your clothes. There is much better beaches to sit and swim at in Bali. If your going for a walk it's great or just to watch the sunset it's ideal. But white sandy beach with crystal blue water it's not."
mikkel,"Canggu, Indonesia",Jun 2019,Not so impressive but its quite fun to be here. And the location is not very far from my place. Bring your dog and have fun at sunset
tinna,"Canggu, Indonesia",May 2019,"Not very recommended just a standart place, not very beautiful.  I would recommend to go there at sunset"
Joni,"Bali, Indonesia",Dec 2018,You know this beach isn't so special but it's very fun place to catch the sunset. See it thru yourself
orientdesign,wateringen,May 2019,Canggu is hot at the moment and also for the future. A cozy location on the beach with beautiful sea with many and high waves. A great place for the active surfers.There are also many small restaurants and bars in the area.
hollyjames8000,"Perth, Australia",May 2019,Tropical delight to watch the sun go down and learn to surf. Cheap beach bars or get away from the crowd with a little walk . 
Jodie784,"Chelsea, Australia",May 2019,"A must see beach, the sand and water is clearer here and the temperature of the water is perfect after a hot and busy day. There are a load of casual cafes/shacks serving food and drinks. I had my reservations about them, but the food was surprisingly good. The water is rough, so I would recommend only confident swimmers go in. There is some surfing too. The sunset is amazing. Try to fit it in"
SRD1994,"Swansea, UK",Apr 2019,"Brown sand and very rough sea, strong current can't swim. Perfect and amazing surf - full of surfers. Very cheap sunbeds and drinks, no wifi."
Aurora Ribka M,Indonesia,Apr 2019,"My husband and I came here just to enjoy the evening. This beach is crowded with tourists, but not as busy as Seminyak. Beach chairs can be occupied, but we recommend ordering food or drinks. After the sun began to sink into the night, the beach was deserted and food vendors began to close their outlets. We better prepare the pedestal to sit on the beach to anticipate the lack of seating. Food prices are quite affordable. I ordered a coconut for IDR 25,000 and a juice mix for IDR 20,000. Far different in price if we order menu in Seminyak beach."
mg378,Kuala Lumpur,Jul 2018,"Canggu is the new seminyak! Seminyak has become a little more hustle and bustle latelyCanggu has got it's very millennial feel to it with a young 18-late 20's age group, digital nomads and plenty of al fresco barsFun spots around Canggu would be Finn's and The Lawn for a good mix crowd and great ambience"
Arijit B,"Asansol, India",May 2019,My wife and I visited the beach twice and both the times were disappointed due to the dirt and filth. The beach has dark sand and is seldom( or never) cleaned.There are some shacks and cafes on the beach for sunset views but their food is not worth the risk.A better alternative is the Seminyak beach which is cleaned daily. 
LauraHu22x,24 contributions,May 2019,"If you like to surf this beach is great, good waves and plenty of places to rent boards and get lessons if needed. It's not somewhere to spend the day on a nice beach however, the sand is dirty and rough. The sea is fun to swim in if you like to play in the waves but not have a relaxing time in as it's too rough. "
Elizabeth C,"Seseh, Indonesia",Apr 2019,Great surfing beach but not well suited to children or sun bathing as dramatic waves and rocky foreshore.  Good for wave and surf watching.Cluster of small bars at one end and bbq restaurants at the other.  
Matt_Schulze,"Adelaide, Australia",Dec 2018,"Stayed in Canggu over Christmas 2018, and went surfing on Boxing Day. Definitely some big swells here considering how close to the beach the waves hit. If a beginner it’s probably easier to learn in Bingin which is fairly close. The benefit of surfing here is that the break is on the beach and not a reef, but just be warned the waves can come in thick and fast so prepare if you stack it to keep copping the waves!The beach itself is pretty good, a lot of rubbish much like Kuta but overall great for a stroll down towards Echo beach. The sunsets here are amazing and great to take in over drinks at Finns Beach Club!"
TheOExpress🏴󠁧󠁢󠁷󠁬󠁳󠁿🇭🇰,"Hong Kong, China",Apr 2019,"There was a pretty good atmosphere at sunset here but the sand is very dark and coarse, and there looked to be a fair amount of rubbish too. Still, that’s more of a Bali-wide problem than just specific to this beach I suppose."
Agung,4 contributions,Apr 2019,The place is nice yet the cleanliness is something that need to be look after to. Relaxing place to be for family
Robert O,"Rotterdam, The Netherlands",Feb 2019,"Canggu is a relatively new 'beach resort' and few lessons seem to have been learned from Kuta, Legian, Seminyak and Sanur tourist hot spots. No efficient public transportation system, garbage collection and sewers very problematic, no planning resulting in shops, restaurants and other buisnesses popping up everywhere, especially near the beaches and along the -already very busy- roads. I cycled to Canggu several times from relatively laid-back Sanur right through busy Denpasar. Not really recommended. Most Western tourists rent motorbikes and many stay in hostels. Cheap 16-bed dorms are available. Some make an effort to learn how to surf, which is good, though wave ethics are often not included in the training. Compared to the other side of the Southern Bali peninsula the waves in Canggu are great, but they also bring a lot of dirt to the beach. If you are more into swimming, cleanliness and quietness Sanur is a better place."
Alvilde P,World,Apr 2019,"To much garbage on the beach. It is not nice being on the beach with all this garbage. Otherwise the beach is nice, good for surfing. "
VikSen2223,"Melbourne, Australia",Oct 2018,"We visited Canggu (awesome place) for the first time in Oct 2018. Decided to check out the beach as it was walking distance from our Villa. It might be great for Surfing but it is NOT FOR KIDS!  We had 2 toddlers age 3 and 4 with us. The beach sand is black (tiny, tiny rocks that shine in the sun like gems, very pretty but heats up so much you can't really walk on it! it's that hot! Also sticks everywhere and gets in your cloths (our kids rashies still got some of the sand stuck inside the fabric even after weekly washing for a year!) The waves are way to rough! Our house keep told us scary stories how some tourists have lost their toddlers to the sea! I can imagine that as it would take seconds! so i you do visit keep alert!    I must say there was no rubbish on the beach itself! There were some guys you could rent a sun bed from (bargain with them!) also a guy who sold some cold water and  Bintang beer :)   No life guards!"
Ryan Mazure,"Perth, Australia",Apr 2019,"Canggu beach is one of the more popular surfing beaches in Bali. If you want to surf where surfer ettiquite doesn't exist this is the place. Be prepared for people dropping in, crashing and wiping out all over other people. Be sure to wear a helmet if you want to avoid any nasty board collisions "
Chapre29,"Amsterdam, The Netherlands",Mar 2019,"Good things are that there are a lot of activities to do; surfing, beach clubs, bars, town etc. Beach is not too crowded. What we didt like is there is plastic everywhere and evere day new stacks of plastic... sad for such a nice beach."
HolidayByDesign,"Surfers Paradise, Australia",Mar 2019,"This is a really nice beach. Black sand, and some large rocks which have been eroded by the waters, making for an interesting seascape.Restaurants and bars are along the beach front, as you'd expect. "
ron_trenning,Heiloo,Mar 2019,"Møre relaxed than Kuta or Seminyak,very nice restaurants most with a view of the ocean.The sunsets are our of This world"
Thomas,"Kuala Lumpur, Malaysia",Mar 2019,"Usually this place gets a bit to crowded for my taste but if you go out a little further from the main beach area, you can find chiller spots. There are plenty places to grab a drink and some food around aswell so a lot to enjoy. "
Kasia Z,"Central Poland, Poland",Mar 2019,"Beautiful spot, great for surfers 🏄‍♂️ , drink with the Indian Ocean view or simply for a stroll. Photographers will appreciate beautiful sunsets."
Sunnygirl27,"Caloundra, Australia",Mar 2019,"I have been visiting Bali for 24 years and Canggu is my favourite. Much quieter than Seminyak & Legian. There is a little rubbish in the surf but from sunrise to well after sunset this beach has everything you could want from beach bars, good swell, happy locals and toasted tourists loving life."
LDG,"Secret Harbour, Australia",Mar 2019,"Definitely not the best looking beach , a black looking sand , with rubbish through it , possibly black caused by the volcano ?. Water doesn’t look inviting like other parts of Bali. Had a few waves , hence what must be the big ticket item maybe here .Few bars along the beach , but doesn’t compare to Seminyak.Possibly won’t visit again . "
Samantha De Castro,"Makati, Philippines",Mar 2019,"Nice place to stay if you wanna watch the sunset, people go here to surf too. We stayed at a beach front restaurant so we could watch the sunset without the hassle of where to stay.One downside is going and leaving here. There is a local conflict between Grab/GoJek/BlueBird and local taxis here. It is kinda traumatizing since we already booked a grab, and we were already inside the car when a guy in a motorcycle followed us and forced us to go down. Apparently, grab is not allowed in that area. It was scary since it’s in the middle of the night, we were forced to walk to our hotel, and the streets are already dark. No cars/scooters were passing. The guy in a motorcycle was harassing the grab and kept shouting (we dont know the language coz they spoke indonesian).We are tourists so we dont know where to get a taxi (since there are no taxi around) so Grab is the most convenient way, yet somehow, some of the locals cant understand that. Also, if you choose the option to ride them, it is freaking expensive compared to taxi and grab considering the distance is only 1-2km away. They will charge you for as much as 150k. None of us also know how to drive a scooter so we cant rent one (most of the tourist here rent a scooter to go to places since it’s a lot cheaper, cars could be really expensive here)To the local government of Bali, please fix this. We were two girls traveling that time so imagine how scared we were."
Travelgram,"Singapore, Singapore",Mar 2019,"Even though we were staying at a luxury hotel with a great beach, we went to Canggu beach for surf lessons. The beach has all you need with beds and umbrellas for hire at cheap rates, drinks you can buy and also about 10 cafe/bars right next to the beach. The beach is clean and also has a great view for sunset."
apinchofhaze,"Kuala Lumpur, Malaysia",Jan 2019,It is a great location to watch the sunset. It is also good for first-time surfers trying to just get comfortable with their board.
ducati748af,"Paris, France",Feb 2019,"This is probably the dirtiest beach I've ever been too. So much rubbish on the beach and in the water. Having said that though in my week here I have seen a lot of clean up teams trying to tidy this filth up, that's good to see. But I do have to mention all the stray dogs on the beach that are intimidating. They are not aggressive yet but I won't be long. Makes it difficult to enjoy your morning runs."
JordanMcfal,"Auckland Central, New Zealand",Feb 2019,Best place to have a drink and watch the sun go down over the horizon. Many a Instagram picture have been taken here.
Darrin D,"Brisbane, Australia",Feb 2019,"If you have visited Bali and not been to Canggu then you are kidding yourself. You must visit Canggu. It's laid back, its chilled and the sunsets match anything at Seminyak. The surfers are fun to watch and people visiting here seem to be reasonably chilled. Yes - I must admit that's before about 9pm - might be different late at night but we were early to bed. Great place to visit."
natstravel10,"Mt Martha, Australia",Jun 2018,"Seen many beaches around the world and cannot really understand why this seems to be popular. The amount of debris that has washed ashore and lack of softer sand which beach goers were happy to lay around in was astounding. The surf was okay but you needed to contend with the other 60 people out on boards, a mixture of novice and the more experienced. Alot of rubbish within the area also from the public which was a shame. Awkward to get to and with Bali traffic can take a while. We opted to walk back along the beach to Legian which took 1.15. Easy walk and good to see different venues along the way.  "
Jf_Ruth,"Singapore, Singapore",Feb 2019,"One thing about Canggu Beach that’s worth the visit is the beautiful sunset. The wave is nice  too, great for surfing. But the beach is not very clean, a lot of rubbish, plastics bottles everywhere... "
Onedaytraveller,"Bali, Indonesia",Oct 2018,My honest review about all the beach in bali regarding the sunset is along the canggu area! You could get a very whole super big round sunset! With a nice colour and the sound of sea breeze and a view of many surfers finish their activity and bring the board. Oh my god! Canggu sunset you stole my heart.
Ruth S,3 contributions,Feb 2019,I really wonder how people can think this beach is nice. Walking along the beach is like walking through a pile of rubbish. Just disgusting.
Mark D,"Newcastle, Australia",Feb 2019,"Canggu is a great area, quieter and more relaxed than the hustle and bustle of Kuta or Legian, however whilst the beach offers some great waves for surfing and wind surfing its not great if you just want a swim. Worth a visit!"
CapeTurning,"Iisalmi, Finland",Dec 2018,"Spent here 6 days during Xmas. (if you want to read more on my discoveries on Bali beaches, read my reviews about Sanur and Seminyak beaches, I refer here also to those texts)The devastating plastic explosion here was a shock. And, no comfort did we receive which was the case in Semiyak, from armies of cleaners and comforting words: this is only few days.The Beaches kilometres long full of plastic, and NO ONE cleaning them. The beach shag keepers just waited and let the sea come and take it back.Here the locals don't even say it to last only a few days, but even months, the rainy season. And they directly say it is balinese own fault: the trash comes from rivers, and the rainy seasons lift the rivers to flooding, which empties the carbage into ocean.Ugly, awful.  Update on day 4: Around the Finns Beach Club we found some 300m long streak of beach, which was clean. Maybe the currents had spared this, and would imagine that here they do clean. Update on the last day: Ok, the Canggu beach consist of many shorter strips, my comments concern the area between the Pantai Kayu Putih and Pantai Batu Bolong beaches (according to google maps)."
Adrian B,"Aldinga Beach, Australia",Feb 2019,Have stayed previously in a villa ten minutes out. This time near Echo Beach. The vibe of young people from all over the world is so pleasant after the dynamics of Kuta and Legian
